target,Altitude,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm10,pm2.5,so2,ssr,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
6,117.243148573512,1.24794198007987,0.307702835462511,16,14,52.096878647436,-2.84136720008046,12,71.5588928406187,17.7391591535221,33.2145745115675,18.6464907243864,13.8021284494362,1191809.15188389,279.003504076476,0.0002714839781991,230.866780975398,7.7727229536765,1999,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,30.9615971887834,1.47553127805749,0.187480700922567,14,21,52.244065727514,0.851650875639596,9,76.3333102527634,17.7373214155575,36.4920827862245,18.6456666182384,13.812220923257,8493766.74242605,290.525447390651,-0.0008632410634998,200.709217520424,3.2289621259941,1982,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,131.478266671784,1.44276204920335,0.201999409115513,25,1,52.7895540296149,-0.849649084188953,1,76.4023544916206,17.793657347321,36.4664035744704,18.6378568898602,13.7982219441052,6100221.31758497,278.341762140731,-0.0053094745993556,235.49619589363,4.13739104641185,1983,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,154.144473712549,1.45997239717176,0.190535275503998,5,22,53.3161461206272,-2.58902209968473,7,76.320805686862,17.7295805443637,36.4897666367005,18.6474298113926,13.8219115059747,8625344.95467198,289.553933384361,0.0016741159314244,301.164094320912,4.42098230653419,1996,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,2.33497682831337,0.888438868118401,0.215025118610283,25,9,50.4395373451405,-1.63367282635259,4,59.3643319192125,25.9300142639997,33.7909161092638,18.6429552964744,15.1191694748789,2763688.50190387,284.539850610389,-0.001697127539245,48.396549030486,3.58878072785157,1993,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,40.0015359695791,0.780008178750825,0.145782980165015,10,5,52.2623473102995,-1.25484841091001,6,485.657016682007,37.9809768295759,36.4865807853879,18.6406650202961,19.1415315504233,104881.756992998,285.276940258261,0.0003181249598647,79.3051210686747,1.16983842502403,1997,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,51.5167340835654,1.16839034114015,0.125588707568467,29,22,52.7494864905059,-3.03504197576156,8,23.0812724313652,16.3748220381169,28.5940555217412,18.6436492946103,21.4592304629865,2865764.76848836,290.123812189694,0.0016851018371102,247.312613679416,9.18012629718906,1997,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,106.002509431399,1.4426119637385,0.1496757068519,11,7,53.6359517691826,0.784730340532175,5,76.3173124990387,37.6640988345215,36.4804006225669,18.6433850955952,13.7818840368029,103442.56577453,283.671265601298,0.0009199754126966,232.6074078271,5.85895136126846,1992,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,169.148509891234,1.44176825310122,0.179585379974983,13,15,52.0079513976281,-1.61615012421651,2,76.2706605555681,17.7753638671922,36.4608209223651,18.6416600457769,13.8060172959049,3654098.77752017,275.244823842787,-0.000467058147299,125.145922178932,4.67127930138866,1987,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,101.670590701474,1.44150341021426,0.141419334202888,19,1,52.4840042931208,-1.2070105744363,6,76.3287088608407,17.7468049051109,36.4637686859102,18.6432548375965,13.809040709884,2650175.1427146,282.281940309151,0.001529148306184,277.336546164841,9.12361475697579,1994,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,126.393219549482,1.47553139138408,0.201334370706915,30,12,52.5967777373213,-0.341511896521352,6,76.331997161071,17.7373458167687,36.4920824718916,18.6365551776899,13.8122203128221,7860006.9471643,293.213825441693,0.0011983427211708,268.656383435606,4.88139471449793,1982,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,80.0221573563069,1.44334278374748,0.149402840322324,25,23,52.9049232307288,0.286141486846932,10,76.2936806466429,17.7512343417569,36.4936828585985,18.6407682196884,13.8078890251849,3588593.09969486,283.588585791975,0.0021685997866756,73.8690448440069,4.74672825707954,1985,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,123.648768932632,1.44131169810012,0.238017382110486,9,21,53.8458860120816,-0.473630129821177,1,65.333217655795,17.7468202955777,36.4571310102224,18.6423946989187,13.8103059964318,-419300.442232612,275.607538883065,0.0032012897354641,273.374635278406,3.62446558791961,1990,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,86.2263119296125,1.44212051080782,0.265147861338027,19,12,52.3807764363194,-0.971575830905202,5,76.3943379493849,17.7639299631361,36.4972679862163,18.6390481555524,13.8187101671354,10188464.2482763,289.524076574347,7.50826337482784e-05,297.831569059882,1.83128386387488,1984,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,69.6578082172515,1.44290509450935,0.16497054301392,18,18,54.1759224674256,-2.4513355542223,10,76.4062998549494,17.7338007599384,36.5155160620828,18.6466452031991,13.8478468442996,4839276.30107186,282.795202160424,0.0003431624353798,190.161684263889,11.8341188216627,1984,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,54.4763553651349,1.44341713460056,0.168344311930783,24,22,50.3809014019697,-2.72304870586555,9,76.2993501067894,17.7816170749186,36.4686180708528,18.6459026641708,13.7777935890104,7414950.33359378,288.907402075654,-0.0007675816541883,27.9396257054467,8.03259483675131,1994,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,30.9521676485528,1.28136738623628,0.18692958004983,3,17,53.4366030896699,-4.16301956884078,2,66.0920828368326,-2.47854365723965,33.5821517498189,18.6429556324306,14.5716129854033,146735.464641224,279.781804706001,-5.89890245196445e-05,239.991335930975,7.80005888007528,1993,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,86.7344012175879,1.44218306841115,0.141995060937665,22,17,52.730460430961,-0.342625344957672,11,76.3458247280624,17.7604225079771,36.4732930772237,18.6419606552352,13.768679222573,4339000.44443363,281.067577873255,-0.0024792334567704,300.819353572629,8.02087691975706,1987,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,125.8275571715,1.44142817335744,0.172731367386649,24,3,51.6363752992762,-1.0879793964504,6,76.298030447602,17.7291350992111,36.4629083846588,18.6371936351341,13.7971574790899,953561.137270424,283.669708351355,0.0007174368384272,-86.5797886758709,6.68631515714206,1981,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,143.868120902593,1.43921085379581,0.177741925558638,11,0,51.4944126024371,-0.777413178137082,2,76.6093445357324,17.781290744264,36.488305614092,18.6395421705521,13.8183887209117,4114153.76568115,277.618711337783,0.0001281245378123,303.295116447035,2.91895023559205,1984,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,50.1806813038255,1.44193427371711,0.225769329164915,24,3,51.3252743183547,-1.84397633510511,1,76.3528962567122,17.7345171825001,36.4644958351755,18.6395171237008,13.8056750493179,-138570.429340525,279.390277114009,0.0001536184381287,383.121008960501,12.6874309112282,1984,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-19.5698301432032,1.44143058497876,0.180346293649234,2,17,52.1319148111737,-1.18268365846854,11,76.0238215840543,17.7487758106686,36.4682616173371,18.6413375374299,13.8014511978385,548498.712878786,280.630845695948,-7.94496005848575e-05,333.580859638841,4.50536773137203,1995,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,34.3774608394818,1.10759085463056,0.213512118003517,17,18,52.1222228354444,-1.98754570841419,8,65.640412603307,39.9998563922121,41.6112981230417,18.6495488278175,31.9957479457171,9421604.38866256,288.449514725895,-0.0025510853021508,263.303488019584,3.81121762666695,1992,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
