target,Altitude,blh,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm10,pm2.5,so2,ssr,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
6,56.7489090491828,840.808838350712,0.169674865807498,27,8,50.2619601256004,-1.30059938577018,6,76.2818399651673,17.7487168192602,36.4106683229452,18.6452752994196,13.808119145904,999517.043327107,288.067068126847,0.0019475725132877,336.312485900109,2.47308298476639,1993,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,138.15730976924,-121.513928519956,0.156379827426262,24,2,50.7666033421487,-0.516096919251408,2,76.3229505136645,17.7469528120895,36.4706365817013,18.6408007581569,13.808388766444,2315306.1992518,274.563114290171,0.0005017323809955,148.707838581772,2.59997416301221,1983,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,91.4387983506952,1270.72161627577,0.179507257825948,3,18,53.3672378049591,-2.07137329494828,7,58.5363396809199,35.8236992178801,36.1755444408497,18.6439653629289,22.3596334575458,9552318.7362457,290.036193341018,-0.0006957791249669,169.659285867276,6.51276345044394,1992,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,192.736934401133,832.489599658708,0.147808344129408,9,9,52.8654844409738,1.24154564805964,3,76.3238111777757,17.7671140397577,36.4623392215008,18.642955154184,13.790856524149,1098315.6890561,273.553126779822,0.0001906459487947,112.034949596462,4.48341141117238,1993,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,53.2941146059584,947.116570868072,0.235089334143382,5,12,56.1927213034817,-1.70677169185173,2,48.7226020928472,31.3080779186201,28.9461472068312,18.6408298012913,7.49468484147798,3237177.66310724,273.96507811836,0.0008619392820242,282.897198188748,3.55396303806524,1997,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,274.336894368257,283.399576419967,0.17906781578666,1,5,52.2159032490613,0.332870586565766,10,77.536934156921,17.7405141156439,36.4752329136164,18.653182250846,13.8135542386644,37192.401043079,284.881482435457,0.0015198184748179,88.7782366965369,3.95510338172325,1987,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-79.6999818325525,273.036690336928,0.123108756617028,20,19,54.317123233624,0.379962724183794,11,76.2497060727474,20.6528463549889,36.4850978607424,19.016509538512,13.8040106642374,-373266.900279818,273.224826372229,-0.0002350243518571,128.243423794417,1.86503705795618,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-34.8893333100662,1960.39747848259,0.22847299079991,13,14,52.642742382331,-0.446449097783477,4,76.4419005172454,17.7014943560655,36.4834300022729,18.6350328765557,13.8136823445883,6349848.62886272,286.115426893735,0.0009224002702401,205.254112309828,6.69085485300998,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,69.9813147317592,846.609630591161,0.149355298028352,27,21,52.0513434579212,-1.34805244752504,2,-1458415.55787502,30.114113870037,34.456835992434,13.2943532703205,-103533.365719715,-25321409179.939,274.421628304626,5.28706524648684,72.9736756831862,9.75430317204681,1986,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-33.0321840875656,8.37841362452888,0.166343597095452,26,9,52.6406352656756,0.277213794245169,5,76.3340086142831,17.7522874831044,36.4537411057078,18.6343727144849,13.8040059755318,2112252.82313008,285.684403181204,0.0006261186580021,83.9927295509929,1.25334990449364,1990,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100.172169227059,955.330670415773,0.0869469458743668,13,10,52.2735323541658,-1.7659438532727,8,76.3068650828222,17.7599748904724,36.5434794438285,18.6438678850635,13.8392441089732,2814606.31301605,289.40983056982,-0.0009115696536485,193.034602321082,3.49965561568994,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,115.739680763397,337.47940904087,0.166991498199219,5,3,51.4276583460186,-1.05066240883371,7,76.319063840292,17.762990909816,36.472335749272,18.6419005748601,13.7960974201856,2045466.13613633,287.981505365892,-0.0002636596509245,75.4664857474072,5.12153936701916,1991,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,44.5028490639253,166.406318074809,0.150097933912899,11,3,51.1325245976929,-1.98161897709631,12,76.2904311006402,17.7256514143849,36.4580356306377,18.6495485825402,13.8327192790101,463442.805823368,278.555081386425,0.0004710716828831,241.236819209521,4.41363522785442,1992,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
