target,Altitude,blh,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm10,pm2.5,so2,ssr,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
9,54.5078256082459,941.825278773766,0.231737179089043,25,0,52.6689808374651,-1.79955117010133,1,65.2752737316413,17.7397188536605,36.4757880040312,18.6482887032669,13.8110899621606,3647839.91110264,282.326263183972,-0.0002657392193548,164.833577477592,9.25418280023013,1989,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,57.3806338988857,661.76511333939,0.207030719429645,8,12,53.1732360425896,-0.378116603371385,1,76.2485961766402,17.7304774942839,36.468257670328,18.6392067547513,2.06091989753566,-528608.531726874,279.215964882084,0.0022897435596529,544.721106896959,5.50338981637092,1999,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12.3668833859956,1074.54414249561,0.131007409415613,27,22,52.9541121480933,-1.24330401657005,12,76.4016446070062,17.7513982501729,36.480712457195,18.6354250413278,13.8368733906846,5930633.24668933,278.741879775222,-0.0050908990622445,164.809864633449,12.175660694468,1981,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,-24.8053774042134,664.847544983037,0.18566908246475,14,5,51.4787023077616,-0.206347100765438,3,107.565062701487,17.7388530328793,36.4863626515353,18.6382424574389,13.8065807041611,26674.9591546589,275.607360967337,0.0002979643743598,228.430305429085,6.74487391900657,1989,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,61.3286155246658,1024.54605083963,0.17291541867747,16,15,52.0162993343031,0.110255553965934,7,75.8480872485307,17.7506878196915,36.47702606128,18.6465611976135,13.805605135798,6233423.5506415,288.8286319908,-0.0012794767712317,301.426704899051,5.57702340335726,1988,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,65.119916209898,2156.11203243797,0.133255157379077,12,13,52.6388275629913,-1.4550417386986,8,93.0992982005688,17.7356002411511,36.5791547036029,18.6393338688418,8.08721786908697,6240961.66817013,297.787594794885,0.0057593456904884,243.32199549518,18.7298854881484,1992,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-110.743814630608,885.921699463298,0.133050669464064,21,19,53.4760473857695,-0.891779595030253,12,76.2583444189906,17.7427869296492,36.4889375905213,18.639907407145,13.8152722009375,4989847.7863233,285.158957541077,-0.0065096635385795,315.836503062666,6.51360435713767,1994,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-9.56012275420956,633.559885600008,0.176231380738116,1,5,53.0127278984484,-0.634692613478893,1,76.3339639701947,17.7394752629489,36.4856957595428,18.646429963721,2.19731236079143,-2458.18115504716,280.889256807223,0.0007089672610952,358.145124508622,4.87711654203592,2000,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,38.2363041813962,136.336805275755,0.160210712224325,31,3,52.4943845378379,-1.4169583508814,3,76.2885435191533,17.788982803909,36.4731754016337,18.6343443000504,13.8088137938367,1403014.55470378,283.616813597979,0.0002329654478385,83.783526039787,2.33776514070422,1990,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-25.7860881907943,895.957498016582,0.249922047015197,27,7,52.4080622449669,-1.01563051959427,1,76.273771227508,17.7430950047437,36.5008384119113,18.645024489955,13.8157186304574,87528.8589733147,277.470571534806,0.0015535352937133,387.88792062298,10.0563057569968,1982,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
