target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,o3,pm10,pm2.5,so2,ssr,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
4,99.2607465805249,232.860803574518,1.44230259791503,0.198127703902203,21,6,53.5954155945232,0.926480345228101,2,18.6550627172131,36.4791998741268,18.6359733444549,13.7987540643358,70307.0925163609,280.796432237653,-0.0001441460062141,248.941655508157,3.84412703389549,1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,143.873254231744,675.395128507821,1.44195048874748,0.209785882429867,25,23,51.1323974211463,-2.16350796573426,3,17.7584204783429,36.4803226613278,18.6354257313921,13.8114176844046,-257196.977209606,275.338934841522,0.0085788032654741,218.367084537745,6.17979036481985,1981,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,53.5198736050172,217.518624419563,1.11425751823285,0.149611442488402,14,7,50.1353210242408,-1.26761590492853,6,17.7399863081089,36.475788466265,18.6482887166935,13.8110890171748,287815.782197492,284.649284611142,0.0002895377872253,192.004740414834,1.76764099174431,1989,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,134.398649420361,1066.00559257887,1.27350699893149,0.120201522361282,5,9,52.5266045950062,-1.91422955812016,7,32.2642618712733,35.6293325647579,18.6403037703759,22.4271193717357,1788243.86571506,289.119793195368,0.0023158244243308,346.948634145242,7.23060283574158,1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,12.158985158128,776.739506068751,2.07723205131846,0.234752526929734,6,2,52.4114106823566,-1.59890239378813,2,17.7408037693651,36.528930180087,18.6382626267473,24.5984262905862,-427406.208121885,273.608573803767,0.0010426994043983,136.627157963479,7.02962603030532,1996,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,114.975640765624,1187.56260374382,1.44170903423329,0.242426556457495,29,17,51.8549746572713,-3.87441151867708,3,17.7604128392152,36.4739728809448,18.6352104560847,13.8158298858623,4535293.39377094,283.840950943974,0.0010700109162843,-27.5061085273953,6.29382970229762,1981,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,188.333812499436,282.181830610605,1.4426911721704,0.139484115868581,25,5,52.2107820847632,-4.24228013566146,5,34.4832312528518,36.4513149808162,18.6441454847061,-3.09938490748755,14161.8993138716,284.344351663529,0.0004747027764279,234.174873931564,4.04212109312061,1999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,60.0232589769365,518.439991126653,1.27350710234753,0.207035520075112,2,3,53.9862996375531,-4.14616847271057,3,-22.0403010623978,35.6293323162058,18.6420309309179,22.4271196244396,-2621323.33034934,274.992597551682,-9.0931026010102e-06,178.127702774672,7.65809173198088,1991,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40.3855158096209,563.592730245758,0.93876060819865,0.218559494130148,15,3,52.2150176363884,-3.58998935081633,8,10.8096139959094,32.5328330666406,18.6396194604464,11.7712903106408,1995943.85725931,285.393233103391,0.0006486303039686,203.003451891393,5.18361420538097,1992,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,8.89691788351413,410.66292433686,1.4417825720946,0.259739587835716,12,9,52.1411843124481,-1.69203385005529,10,17.7323716868631,36.499742566143,18.6424450988233,13.8151505308985,1082077.48103307,280.489638889846,0.000305734203285,234.512819645071,3.73614293664686,1983,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,-109.31812484537,764.866174789501,1.44133087659786,0.228181457427721,27,4,52.8084106341566,-0.0036790912531488,10,17.7628195283701,36.4827043435767,18.6361739794767,13.8076300577779,1.77620318525205,283.832774632217,-9.44851590122347e-05,218.487339583726,8.22643454418494,1986,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
