target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,o3,pm10,pm2.5,so2,ssr,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
1,151.142951868388,279.164209146316,1.20483901511468,0.152824089895588,4,5,52.4500514070487,-2.01822489203462,4,23.6714638971365,11.1688710211415,18.6378809049525,8.95849010086349,89853.492356468,273.843476221828,-0.000331669911731,219.617264843058,1.25556116073279,1999,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,190.287469308866,99.5886171953964,0.760687553896638,0.167177308944956,15,19,50.4873316248695,-1.9550804938349,1,17.7496984625253,36.4689475500713,18.6439156632912,13.8168976063914,2570258.56467035,280.522777484957,-0.0006210441570947,241.480701365631,3.10912440344627,1992,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-11.1044292975488,458.597426259292,1.62733744543569,0.193893115052044,24,19,52.9811759179396,0.798494097965816,10,14.8095094450865,36.473050002246,18.6410243089696,7.31014535243965,7402982.77950119,285.255670598553,-0.0013933882793602,271.20811661695,5.02314404953307,1991,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,165.73097349784,1407.12733411608,1.441904003439,0.15926032299837,9,15,53.2164847225106,-2.3456977745848,5,17.7906995789314,36.4729534639944,18.6467434787803,12.7269030582443,3847928.2397129,291.59488745404,0.0008690607934811,269.573955488252,4.2789976051237,1989,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24.0215037005861,200.647492728375,1.44189251520899,0.122793844934653,25,3,50.5064420051498,-0.866735738424527,9,17.7464182860486,36.5100737117846,18.6370865535889,13.8230746172056,1453839.0912249,286.26105118696,-0.0003736109756891,247.138886472671,0.628423418901752,1985,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,50.8425094120236,552.792497447209,-0.306184139953936,0.182247172640304,3,22,52.8743290382437,-2.56093306760648,4,4.1204301849057,15.3237922592805,18.6417741050712,8.69641648096943,-1113791.49633882,279.503782782685,0.003959788097406,164.583945145834,4.8892813116328,1998,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,32.7688643454933,499.344591868269,1.42537743012505,0.151967136924189,5,20,51.5835469106562,-2.62121943534827,9,17.7346858481309,37.1368323206885,18.6420261262944,13.7982921197872,3447106.57896677,289.695995808899,0.0011827200105378,292.09465362848,5.8463629311257,1995,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,129.113471669118,1450.90870229957,0.699726870139524,0.162565927028274,3,14,50.7177843458657,-1.33450781980676,9,24.2986624468056,36.4821649781457,18.6449212320405,9.88457981764575,8074310.53320184,289.454459119696,-0.0011225628450496,334.470553280255,3.38661980907659,1990,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,66.9942939356969,42.7908855261114,1.46134382846278,0.144428281378098,11,4,52.3066141126657,-0.607307639778117,7,17.7288200491655,36.4498493754519,18.6408296367814,13.8289960675053,2.07671087995769,283.252659652455,0.00022824949215,137.466188359663,2.04216482648263,1997,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,23.9858919413945,1323.34165005647,0.546466436119811,0.1664748408824,29,23,52.8736426665501,0.0635313451334851,12,30.7741072510224,4.79715488579491,18.6427385804842,4.60359779602484,-6792507.12590165,278.043098231392,0.0232121729270098,239.355780143237,10.12203504203,1994,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
