target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,pm10,pm2.5,so2,ssr,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
5,117.796056463777,790.251655204968,1.35687160783854,0.13978854939478,28,16,52.2935722300175,-1.28865619242535,6,76.286979263539,37.6714657263576,18.6380471544134,13.8478982692102,2378873.22453678,290.852234860855,0.000335304000205,82.2129582057276,4.51191120696266,1993,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,47.0577290259367,518.287405648153,1.44113177236124,0.224260331654932,26,16,53.0809216499888,-0.279711610323638,2,76.378322980822,36.4111221957387,18.636049675672,13.8170418974383,368975.638714055,272.729955005484,0.0005531122955235,78.7698769470732,7.49876471685079,1986,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,94.5805155477483,-563.585259710701,1.44292282142009,0.192135163003252,2,4,53.0596338666445,0.448859290967425,11,76.39465713756,36.4704076916519,18.6410135319285,13.7752342041285,5.76536991617868,276.017585166577,-0.0010837540488663,149.893345350299,-5.23448798900335,1983,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,122.291225897806,210.997839947533,1.08129737335867,0.102755128226181,28,6,52.2517497491066,-4.09939381668534,8,110.145670866705,36.4680151135009,18.6387153896311,15.0821777223553,83556.9372310317,285.07473048669,-0.0003382453352584,320.623492956199,2.12405577071846,1996,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,150.526598661993,363.428980970628,1.35099356055856,0.175772181112281,12,1,51.2590204915304,-2.68796354303211,7,76.2856590117167,35.8941792548565,16.7828054674907,13.8284448047514,3859320.55163375,284.833963313819,0.0049456744160577,273.651157691217,3.92253479970034,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,-27.8258638029646,351.40996632816,1.44184468116899,0.165347447294934,7,7,52.8502583913857,-1.4826155024757,4,76.3474582424981,36.4810126591316,18.6432000122431,13.8183841823165,80053.6337385721,280.962543297817,0.0003300238453899,-26.868431289571,3.62021023417393,1984,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,95.2371743741278,440.714831685618,1.28136745641289,0.155445509363395,20,19,53.3010453154432,-0.974886487646259,11,67.8701676069634,33.5821518713974,18.6354651543479,14.571612854331,4564061.23667147,276.574475357574,-0.0022824634571179,74.7658635835527,4.40562620786396,1988,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,-52.7207255537869,637.828978337857,1.44167371256743,0.229117191013204,17,5,52.0256433361309,-1.01282606034089,1,76.3574677708869,36.4561383477142,18.6525462716923,13.8073617223447,-9760.039910632,276.229999080089,0.0001903371872386,163.064240998985,3.94687259092686,1987,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,56.9230949193048,874.111084227735,1.44193948131695,0.198888286761826,25,4,52.4323576702389,-3.91280237775909,2,76.2666234287517,36.4602418156436,18.6445237358285,13.8003481077415,15.7083991345136,279.814773843774,0.0004300611037928,340.56618575063,7.74936137307426,1995,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,79.0962615836808,881.401941831193,1.44247088953023,0.19463939572153,8,17,54.8017756735858,-0.651321142432251,2,43.9162044708649,36.4700481429268,18.6416599604489,13.8141533989762,4741655.45401567,280.692422059893,-0.0007756442722505,232.733910257586,6.81013007526728,1987,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-45.9209295982093,643.813858190592,0.786624444666539,0.158840180932983,25,10,50.3701266198216,-1.11883384771125,3,31.4107514616218,33.2343241500102,17.9685532714366,13.8258958280977,2026668.32919973,286.414810097653,0.0003980729207298,151.683216267423,4.92281734227344,1999,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,160.896761156701,1211.02385030524,1.44181460071849,0.235518331279125,18,20,50.9837938710859,-1.18533714309069,5,76.3439637494241,36.4924916195621,18.6365562615139,13.7994859721167,6349108.81366224,287.01948675829,-0.0005418624389889,231.750834746319,2.22045720234696,1982,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,245.100135400036,593.874091851995,1.44217498214221,0.199633388907816,14,0,52.7441016426893,-0.844591403059431,7,76.3403654414137,36.4873507807465,18.6422499207397,13.816635102967,2517148.16615716,286.47770998272,0.0051047192182088,300.492754883586,7.46324525931798,1988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,28.121273158788,478.244363802221,1.44278818302521,0.15680253702489,8,21,53.0743273132849,-1.51947118870276,8,76.3921081420311,36.4418593603767,18.6450440862404,13.8132070445306,4162133.09971075,287.061094440272,0.0029948811341229,303.084348825066,2.38246301621963,1982,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,246.569379348554,872.474574641839,1.44152806533208,0.14812620939745,4,2,52.2754540167393,-2.12675353509866,11,76.3236289682241,36.4637058195795,18.6613076835541,13.7908654589432,3754135.96878455,286.958360099968,-0.0071175745968705,220.388382246951,8.4462860313056,1996,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-27.1173311292097,1089.47662488678,1.1613374058455,0.242947405130168,14,14,51.7589541015144,-1.86527736037433,2,66.8582126830633,36.5035140598879,18.6510734089603,13.8015505016521,-312044.407381562,279.575281034372,0.0014551683586502,213.441991148625,5.98186298197005,1992,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,12.0763579349288,820.476478990863,1.44254626565556,0.215038889900146,15,7,52.12186574031,0.355195350183384,1,76.3223848077879,36.4804603865565,18.640900342226,13.8059276216586,264705.406748052,282.91277128403,-0.0065454615071699,237.492951287875,7.23151802518985,1990,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,200.867705268402,-283.680401939327,1.44094815398349,0.165706982128367,14,4,52.7782299160933,-2.59044103483974,2,76.287146888894,36.4789260525928,18.6466872562211,13.8345861972868,2.97335789760648,273.439267372402,0.000497394614239,83.6492454437983,2.39974650116235,1984,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.7736097972122,1078.64461067613,0.945906394638459,0.175080566191335,20,15,50.9723611095571,-0.72901194455066,7,34.3277571346008,32.5328349119348,18.6447458995785,11.7816712142005,4914174.81733804,295.155035822255,0.0009553274671506,50.1695939303647,7.03055824393157,1982,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,164.794825293462,89.4560671024315,1.43931219065036,0.143820205299553,1,2,53.2624540415726,1.95992877339082,8,76.3208022257452,36.4595805112111,18.6393330625615,13.7949387441609,1704861.84381141,281.112421610852,0.0028318418126028,219.917734945927,-0.143481925161388,1992,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,190.79411984288,411.043085711677,1.38634012032843,0.148676050235623,14,1,53.8371963842098,-0.617049146164925,5,48.2645772010035,30.9721996635581,18.6053091725655,13.0508048118644,1855006.2464026,281.794376112817,0.000887637422885,266.571225153961,4.98457841931484,1991,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,100.618023448415,1270.50235512529,1.44247090445232,0.171362519229216,24,14,51.7066244715141,-3.5567287593674,2,32.2870457767556,36.4700473639646,18.6531964628007,13.8141530035124,3940352.61620424,280.352647724524,-0.0015098502491589,104.306694340553,7.86590550760258,1987,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,83.7101007341958,765.540110015679,1.6741916790365,0.220664674781732,14,11,53.828325083673,-2.63177050941308,1,44.6324311651018,36.4667185338642,18.6383606032476,22.6809314104751,230621.58882861,279.729791646821,0.0052559040229916,324.061552103576,9.65183086735466,1983,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,128.875511868446,2117.10155802603,1.44022643211437,0.195462358461239,22,15,51.6655384142185,-1.72766917460665,8,76.2863973499929,36.4821731097177,18.6424108026073,12.0265882430314,6231077.79278536,296.611815882091,0.0005875943782973,322.908801647745,8.49076810819652,1981,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,56.727474908094,2117.17964937525,1.44218650699373,0.185207497010891,1,18,50.9011998739942,-0.0767514355839898,7,76.3209235655339,36.4808026565361,18.644921405368,13.7929021754776,7000350.45934913,294.226243495188,0.0002700111362547,245.285515277766,14.230072255413,1990,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,-95.5438469937846,92.6986746410405,1.44233387013076,0.225265331794596,18,12,53.7134044207459,0.564839750019169,8,76.3666980943365,36.468301698167,18.6408065753039,13.8067966423564,2557089.18389562,289.257431593092,-0.0001920465102201,176.810988845035,4.08122780329707,1983,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,46.6701980410456,557.59692800445,1.37640545874565,0.136091882640526,3,3,53.217100014027,-1.52077652517082,5,76.3086037551603,38.3968160898121,18.6399080896583,13.7939332934128,-52231.3497083517,279.4747666892,0.0012185661145086,186.096445698409,5.77508161114377,1994,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,153.496012944769,951.597758020103,1.42957890711291,0.240456995869197,9,22,52.7299513272181,0.161249872179417,5,76.3403117903142,36.8976108434718,18.6419411147339,13.7939227525926,6200659.18310658,281.122229041304,0.0004907831460045,50.3533170936925,4.68660680404199,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,100.466214412968,503.933096435332,1.44292283298275,0.160444770612299,11,23,52.7779718292604,-0.372662036270347,12,76.395294309902,36.4704081653341,18.6380202624902,13.7752342452167,2372465.47701309,278.615907254392,-0.0021659358060717,314.278362078473,5.59713845713782,1983,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,2.38092726990737,691.828169510424,1.1649034922024,0.164918992411693,6,21,52.7340543905378,-2.13055326719405,11,31.3453589318428,23.7943174577194,18.6427323110184,14.2008609361768,599316.821437281,277.425731367062,0.0014073434792692,316.38304952484,7.49088995640935,1999,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-53.4111787045789,330.097658706864,1.37215032536829,0.243306864812357,25,2,52.3783572456494,-1.80333446346138,11,77.825554270406,40.2894643073727,18.6548351566041,1.75480781919705,8502896.17989906,284.699109398533,-0.0090523854990908,254.989716325543,2.9155063460305,1994,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,172.373079096717,405.438646485877,1.3508031435234,0.19614793484959,2,22,51.1252923227719,-3.58936773154932,12,76.3364933829995,37.4837464092945,18.635987444516,13.8087390903422,-4077365.95512924,278.637873906332,0.0123322386375672,249.219880815305,3.9733607984488,1999,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,73.374961680015,317.813532699583,1.44229271008401,0.248622200557874,25,19,54.3980791415737,-1.13637053096951,12,76.3652068071704,36.4926116462828,18.6382321262686,13.8083910682283,2937782.28055671,277.358495659654,-0.0041614985659232,198.824674708695,2.91232867840969,1989,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,34.4701059447486,324.503156302857,0.750901657810425,0.165796963962402,22,8,51.632358400004,-0.053315517734934,8,526.025653221865,36.4865806940289,18.6357135133754,23.8448714058896,1637051.10700582,292.647309829209,-0.0026164419508611,271.557961867085,3.50570206726704,1997,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
