target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,pm10,pm2.5,so2,ssr,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
7,121.152258129973,37.840187424257,1.51217113515048,0.160424171309909,28,8,53.3628453420924,0.787349203207484,3,79.3091579463494,34.9303377797105,18.647631955108,8.81405728242257,1061872.61716487,278.900380598687,-0.0006107359990625,243.120201045151,2.62575703633599,1989,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,190.634333232588,34.8691076198444,1.44229266407645,0.121925947664132,3,23,52.2591978025671,-0.6736671041888,5,76.3453133212828,36.4926117724767,18.6450161462694,13.8083909776454,3879657.60091879,288.120220146872,0.003069601937291,133.071819128722,1.22388912771015,1989,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,80.1471496393,1509.2829029535,0.916343435338531,0.150751536990306,2,16,52.0650673978377,-1.48823568541556,4,60.6332505349282,27.8179324509408,18.6400528134086,24.2080789869899,4969803.26889533,283.343675035681,0.0005551511141414,266.235590803897,5.23245077492269,1995,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-3.06575958802011,308.297005523223,0.729503486415766,0.118587974340711,6,7,54.1995193310311,-1.59997094353567,6,62.8902141634094,38.5719869692797,18.090311090547,13.1429994464251,10755.5930238118,285.361186223131,0.0022191892249935,184.854212768814,4.70646220467124,1997,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,140.617761414596,365.544226329195,1.27350700727558,0.207376839262552,25,22,50.49728733784,-1.00379397092632,5,86.3556242150761,35.6293322710451,19.4072069142936,22.4271187515156,3973926.16287877,279.095921793641,0.0006577618050209,223.169384725544,3.86866803880604,1982,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-8.63117006722196,786.874600953304,1.44158617754001,0.231240788157132,1,21,52.0627800781442,-3.02064086106978,3,76.3339530395556,36.473925022951,18.6452786026757,13.7995720492071,3874636.0180616,276.198851464351,0.002601249348772,230.154824080692,6.9058963827792,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,45.9692057124061,751.834778316997,1.44096389874763,0.184089463241348,11,17,51.0148376274319,-0.540442033179825,1,76.3423179294468,36.4881299231367,18.6378568403915,13.8140136476246,1229243.39130153,278.696878591474,4.40412304248876e-05,199.029289708826,5.47668142694372,1983,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,148.227051102853,564.917241975925,1.56835959036263,0.184492739246152,24,20,52.8572334835528,-1.924008790076,12,70.6390660576684,36.4290124498264,18.6497331478971,24.6651207634376,-78689.1594718994,281.191178100696,0.001623650162426,202.064377647665,8.17373892815751,1997,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,-10.5278198311151,595.326505763192,1.44221533677979,0.110022213662121,26,16,55.1156024557992,-1.39625510551965,1,76.3704965066482,36.4892564306415,18.6416597750856,13.810510749627,534401.597612054,278.393782761506,-0.0002232568631381,395.92114181582,5.23164187948888,1987,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,45.186534788842,1186.07528962787,0.613460419813925,0.119283439880328,3,10,52.8208799941346,-0.704051804507393,6,-399.502897729618,28.8551158617084,18.6445234862934,19.3111124367218,231684.017338829,284.892053825075,0.0010528156597259,226.769194161804,4.79260815548322,1995,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
