target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm2.5,so2,ssr,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
2,-29.2997464282542,1187.66247912382,1.442339386143,0.266286532238271,15,11,52.706769834579,-0.690117966148067,4,76.3349159425001,61.9028541642985,18.6392820524525,13.7976584605363,5089438.04854667,284.137770832684,5.38154082431199e-05,220.945048905702,1.61626283631228,1982,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,31.0459970090511,1720.33249109355,1.44200945368244,0.147517216240428,5,14,51.2726800211703,-0.595867604181015,7,76.2381781217697,17.7539276807018,18.6381312388642,13.8052143110318,6267071.26064552,285.761476189181,0.0006785928174314,298.010559647,4.36239621244866,1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,179.56409156726,159.729480229315,1.44082502774554,0.12567987839887,24,9,52.5270117935811,-0.156278184204838,9,10.2134096206706,17.7390630209942,18.6490290831983,13.8065803471504,2955626.39348786,285.657901900894,-0.0014139648414596,327.634751806095,1.70440860107073,1989,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,50.9647112376065,798.068346321891,1.44194227423935,0.151056709395713,20,20,54.7461597717285,1.06912950467164,6,60.8147429167442,17.7189121977668,18.6374869813591,13.82199487439,4239352.90781113,289.066868877841,0.0010384158943054,49.4756958904401,8.07560605367224,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,115.003033904299,245.282113233798,1.21473175780163,0.28085751320516,29,1,51.1811265494413,-0.939542996689925,1,71.4111392948346,17.7536039048238,18.6438254725988,21.7457103780829,4660745.54681878,276.394531619769,-0.0047992822369446,240.15164069037,4.49094417207489,1983,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,121.033205791543,759.338455143318,1.44076434724503,0.220422140696062,7,22,49.8460552805154,-1.99435164241174,5,76.3829919113913,17.7675774430344,18.6507926763749,13.8059941696194,4241995.74973989,284.220929777203,0.0026435366564358,186.201793115581,2.25781052909119,1994,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,70.4782347252094,-253.67424523537,1.44115890326481,0.168154678795896,30,1,51.8004902998968,-1.6975302956598,6,76.3005552664996,17.7356635683775,18.649029176018,13.8029738916266,6168021.90772815,278.207328431517,0.0019568411840047,198.244739832379,0.555066640625731,1989,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,100.923263990509,748.557453575876,1.44047432690343,0.111939473396364,16,21,52.4502725305798,0.226998244591471,9,54.0572444663608,17.7495427093204,18.6419664394946,13.8151016987009,7763929.70388198,285.730193943663,-0.0008013148173881,314.155668087041,3.33924513015548,1988,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,61.3607359068926,691.293137453697,1.44202953239424,0.197389778590899,11,2,54.7562662873617,-1.01681326472887,10,54.8641535389401,17.7370465535471,18.6355359310764,13.8041665743537,4870706.54460517,285.417015976168,0.0003375365567806,92.5625238414441,7.36484691593792,1991,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,246.337010429021,1115.17806089694,1.35416536584565,0.179215681253921,27,14,52.9185397663758,-1.24258824393481,3,7.55936041060233,17.7492416254213,18.642103172749,13.8208162879543,3895140.91431549,279.144477100365,-7.81749367217583e-05,55.4293711255496,4.49144918896995,1991,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
