target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm2.5,so2,ssr,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
7,2.13327625232065,742.26529316585,1.44192560458942,0.12364987087811,19,9,52.6623094826221,-1.3902451701723,6,40.8175609803602,17.7383940896471,18.6483201695319,13.8078143755739,3419084.20065395,292.120685569092,-0.0006144652255417,100.12836033776,2.47353072967676,1989,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,124.976124613666,599.645911332126,0.692510508321658,0.177849049023043,25,19,54.3813379654342,-1.59688738166234,11,49.6522840645068,9.71448143977983,18.6464302034639,12.6783596127727,2365905.89762203,276.619709854503,0.0016300183718558,183.495800573349,8.34157075070252,2000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16.6609431773862,1003.6261819415,0.723420738973377,0.141655705093864,28,14,53.1172394503114,-3.65572548800913,8,-6.28402845605563,77.2172927851061,18.8187280308603,22.2769864706028,5629777.22789522,292.634074583914,0.0013105332659837,246.358234963937,3.93837673706712,2000,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-80.2407932552693,545.535174919742,0.925122602723339,0.262434948000061,2,22,50.9813970157513,-4.05431932838011,12,83.848066474671,30.7999284930061,18.6480491132422,25.6538628546852,5741009.83948741,282.475608823222,-0.0078380151456406,54.2937609968316,8.97478651482049,1998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,97.3750122922818,381.138209152866,1.32069826534568,0.270091595739603,5,4,52.2152192308625,0.617087559692616,10,137.15221479094,16.4991318417796,18.6402677194941,14.6391870700999,-22.4776294425924,289.129285764835,-0.0010198364507769,241.11328103246,4.45985937908702,1997,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,22.672404391586,1018.39022903949,1.44164785342813,0.252513340594208,6,15,52.4848290398483,-3.49814168339612,11,76.3868497012147,17.7574702380409,18.639836190926,13.8287847419872,2457810.47299455,282.187549086875,-0.0007382552561126,243.415788721949,4.60700321208338,1986,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,43.8366892000407,-17.3394192304104,0.942872344430001,0.12442014187748,30,23,50.1041748493029,0.126386042328659,6,60.1532026855621,17.7497224913097,18.64954861931,13.8168972689644,14614502.6924076,289.861332680732,0.0007404769290899,224.594370801836,0.601666282027371,1992,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,75.4815809644759,453.965739577528,2.0040073624841,0.268947521737393,6,5,52.4842404029703,-0.36674918640603,7,72.8375412576985,15.3456093960775,18.634572975298,11.3221337164065,69877.1428406955,287.276732590911,0.00012042021183,34.8076369772054,3.90589825017569,2000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100.08394807096,761.17702429902,1.27350703718458,0.143518313560253,28,5,50.6073502338155,-2.36723991852601,12,81.9178599400769,26.4914982731227,18.6416286986158,22.4271195896744,26617.103445203,283.973247375617,0.0008592037858733,258.861246452744,5.73492183952638,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,103.770768731781,520.780527863435,1.03353280211148,0.220028873552185,13,2,51.6217910573135,0.370056831332963,1,61.4977379002903,15.8537497278692,18.6287383698598,28.5110794059376,2042229.03268448,276.777939899255,-0.0018054385349402,228.636568207046,7.32563669021219,1993,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,96.7893686236042,986.455295717113,1.44177730921051,0.192568368889062,25,11,54.3562298424187,-1.69850638886494,11,76.3906296878744,17.7646056932424,18.6407676535872,13.8115875297048,1601178.81894837,278.815743962254,0.0010672852553536,137.740397131452,7.58326043458704,1985,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,-21.1318733130449,318.313429977248,0.308859244900384,0.0642740374975204,22,5,53.5271305904248,-2.58667289769844,1,66.1462691089377,28.61670890638,18.6474009029733,10.4487640990235,-49825.067134497,275.249117882134,0.0001312081776958,333.556988150908,5.23704552546451,2000,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,71.7439556151083,819.199442628027,1.44158548204764,0.159822343503433,6,6,51.2202006766149,-1.99771322410519,3,76.3556975234816,17.7495118232281,15.9119161454649,13.7964897838342,-26441.2643517143,278.497919903573,0.0044638922086042,305.237124992536,7.26662498897389,1999,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,40.5323565933014,3.05436870137467,1.08699008887244,0.206730811448021,8,0,52.4234490558786,1.07456071804123,5,88.4209019316785,14.6396950741346,18.5649428514216,9.8223209771486,4899582.74648566,284.455020527357,0.0016104879135372,245.71683700573,2.81809998517807,1989,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
