target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm10,pm2.5,ssr,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
8,106.507798081506,920.216372045769,1.44258154591674,0.101954647216107,8,0,52.4600509868514,-1.65308266855967,2,76.2594000665082,17.7156892370618,36.4887750364599,18.6414443777699,1017747.16044184,280.049970482573,0.0005635618418549,223.34819144623,7.15559563397756,1994,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,118.213305323704,364.571245791685,1.44193552925513,0.192289945431017,4,7,51.9974918537497,0.79607628443169,7,76.3698826925238,17.7592187844516,36.4758638750923,18.639874265383,54409.2926703968,289.4020792158,-0.0001054418562977,43.8812537000975,6.51441672078703,1991,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-22.8622268733263,862.193332007113,1.44297011744818,0.210125299476708,21,20,52.9392452840658,-0.980642803972619,7,76.3970870327377,17.7617552039955,36.4649331640068,18.6408957744803,4729582.1731089,289.393992333211,0.0019530004467154,296.472637072206,6.70864036936579,1981,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-70.8360284054148,881.719408588449,0.789008452343429,0.154825998179065,7,11,53.6155438418468,-0.576438119893804,10,53.4840132492835,33.2507124056973,39.7764320320152,18.6414439861961,2628333.31093732,280.803762281642,-0.002174530213579,222.774223929917,8.00879749930276,1994,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,144.320961033271,1704.31471901643,1.28675316897492,0.178701928281834,1,12,52.2940826612622,-1.11281926446425,5,-1458418.45031271,8.68173898386295,34.4568356492825,18.6467233755839,-8649947830.02081,294.627385835985,2.48648218661981,108.163288611493,6.62240571288438,1990,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-42.3863534822336,401.757250266017,1.14722842803778,0.232688126035553,8,19,53.1428985420545,-1.69000936246269,11,67.8578886244075,17.7419792012881,36.4764593767424,18.6476321034028,924936.277853929,278.349478669575,-0.0001097596002839,174.122464385103,3.33230269111033,1989,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,116.44395051229,1109.5341857664,1.44163565202126,0.169360002602725,25,5,53.3507748728518,-0.965232427427137,3,76.3346589113897,17.7538599930919,36.4578233778524,18.6448493296555,31681.3590178927,280.23915206967,0.0004562295182664,319.434387394759,9.81788211509182,1990,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,157.852319577441,652.766279789323,0.0420934268674606,0.199351518553873,29,7,51.7338490001838,-1.92286424502862,8,58.3598058023537,19.2952078072917,42.793103866216,18.6413790918148,117857.298444196,285.383018023654,0.0014796541675111,320.739220677888,7.24355689282933,1996,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-74.6128695707879,607.788410510664,1.44260915879584,0.230006611851857,14,19,51.628643972712,-1.33636253069775,12,76.2743882705718,17.7406621211771,36.4704393562753,18.6450346370135,4324119.0117352,276.405031728277,-0.0037700978556848,288.10317805966,4.9451953439281,1982,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,42.4282540523505,12.7745530144565,1.44192830210526,0.229609972452522,24,12,52.8302995083561,0.336151609600923,1,46.6215192044686,20.3333895234498,36.4725059460287,18.6413945993396,-1260129.11225784,279.121987928751,0.004531983408132,207.429188076781,3.59866926949005,1992,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,200.321851133331,87.8558309624444,1.44932374016728,0.224297092322614,8,9,53.9345700096992,-1.66468884883429,11,76.2935971949534,17.6709063713986,37.9406066749469,18.651206579423,-338889.878451943,274.862278014097,0.0041405076078004,163.836044287427,1.86260764347092,1997,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,32.4091311688073,206.65174426174,1.63469139047042,0.126605323776766,29,22,51.1352221459187,-1.46816946421656,1,90.1816321896551,20.5403750264602,29.5242396215035,18.640668952978,2135283.14842259,277.482592317094,-3.64942063932564e-05,235.110345574535,3.48947317119791,1985,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,166.545523812142,650.388267214395,1.62331373832399,0.189583164156415,16,13,54.4583724916864,0.697424621072057,8,76.4172192211375,17.7511034546268,36.471127479917,18.6362335869627,5213462.53404001,290.507150529883,0.000841930699509,273.458022174604,6.48414698513817,1991,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
