target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm10,pm2.5,ssr,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
1,183.277541215829,548.166099029048,1.24782990047565,0.170285056438956,24,4,52.5918179648486,-3.15116442479233,2,60.9961472562417,19.8426778184297,36.4730499393158,18.6361051854005,-23.1465260715658,274.638921802963,0.0004868190795709,215.293299463817,7.76274314243801,1991,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,35.3670772234575,-188.487934803495,1.44266582663907,0.162033476169233,7,3,54.2085361744367,-0.587398111779108,10,76.3226854582506,17.7365278406643,36.5152116277769,17.7316012781243,1682767.30143499,278.470435053101,-0.0009685635896382,239.437039599167,0.309832070541421,2000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,204.903282073579,980.765042668293,1.44217693135637,0.16236465048908,8,11,52.2076098739147,-2.09390969547582,2,60.3747230730867,17.7356562629079,36.4761721662772,18.6454221419792,-856214.349846823,271.808500090205,0.0031001393753145,92.0711353591357,7.97255886050919,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-47.6575386401621,607.523199144887,1.4406812289229,0.158004621863706,31,3,52.5440377755292,-1.17270812853355,1,76.3450973735105,17.7438967975761,36.4791713360537,18.6395428992949,2042302.09760489,278.112642723196,0.0011380308740483,281.154315602773,6.62248311705678,1984,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,176.599664407705,596.218604191965,1.47553133489066,0.230317465219994,23,10,53.8995224952624,-1.77342935970858,1,76.3313032357742,17.7373249274131,36.4920818759473,18.6375577532495,260683.105606211,284.833894355108,0.0008051818473059,291.898672695313,5.0665452230413,1982,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-113.772801433485,1000.61694808427,1.47553133637181,0.216339033470513,18,14,52.0738681949198,-1.45431552592932,11,76.3353053467063,17.7373358224126,36.4920831519706,18.6436222212262,5870881.10825858,285.37107598734,-0.00325921453607,256.371213277859,10.2998809739357,1982,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-94.4712417979717,1312.02211072469,1.27350697646426,0.191330514948261,19,14,51.4912229519006,0.352396533131025,6,97.5822804111124,10.2073275541771,35.6293327297849,18.6481291092436,6585206.75475847,288.743031427857,0.0017268802291078,244.745991923726,2.82113943638269,1991,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,146.664990865074,917.327272225835,1.56312407780315,0.194514618185283,28,15,50.9676186654925,-1.0724343174911,2,76.3909459310554,58.3966446321986,36.4115159143628,18.6481336247205,3811210.82837713,285.278346231457,-0.0002355079673622,235.183797583799,7.6036893312194,1997,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,96.1171817532916,524.121792571049,1.4408502686702,0.168982645690993,12,8,53.7082728565952,-1.30999367067566,6,76.3763748227968,17.7436834070486,36.4547070295495,18.6347678725697,329969.754682144,283.516039544897,0.0024054242063116,69.4339857403479,2.90837897387958,1981,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-31.1114471527889,597.268313217397,1.4416139709892,0.173387352156752,4,3,52.8400436800702,-2.61492996365248,12,76.3572903100491,17.7718306027768,36.4852587194801,18.6497332021127,2256635.96512265,282.278515219959,0.0006658057571669,71.0036081171346,6.56947533640659,1997,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
