target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm10,pm2.5,so2,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
9,-113.179065990988,1342.79008006874,1.44148656958962,0.192404307968103,5,12,53.8822501619222,0.64938021812937,7,76.2925457342777,17.7493228875759,36.4788669815999,18.6417879805304,13.8119086085627,294.520685408219,-0.0005143611699282,333.645283083387,2.99605620225047,1997,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,82.1151306217673,-25.2437140976714,1.44233636266849,0.157298055556433,27,3,51.4273432664651,-1.28871165206703,10,76.2638397784479,17.7700917678963,36.4901870775333,18.6445234525186,27.4482182378029,280.861553799702,0.0001599627667159,238.772022715157,1.71242865723914,1995,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,185.666957775813,497.475969436344,1.55017794578002,0.205931123857737,5,7,50.6589965371458,-1.28445803361423,5,166.902504558517,34.9064695101787,43.296556509042,18.6427356513725,11.571987769145,285.523194139647,0.0014244139913937,36.4907524709344,7.53268906218443,1997,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,130.019918436437,704.856742534297,1.44222802724395,0.167978968342739,2,10,51.9098814640425,-0.195829869846681,10,76.3253380543752,17.7096009250059,36.4961244994097,18.6445235352201,13.8563076937363,289.239646611431,-0.0011085049642718,236.695811132261,6.9846052853738,1995,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,105.137417039865,277.769505301707,1.44297008859033,0.234019112442884,8,22,52.1465400863713,-0.605039154586118,9,76.44853704385,17.762528978856,36.4649327602575,18.6405466943212,13.8153959979401,285.854441173525,0.0053664000700169,255.689072702469,2.43501656755609,1981,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-143.021851921765,527.603410116311,1.44232627064912,0.145758614192541,3,9,51.3478575068977,-1.02424468108196,7,76.3028204308121,17.7592531129966,36.4738205102076,18.6406688436086,13.7986176163723,289.711925121187,-0.0002501739777146,88.4542154664064,2.48245016598211,1985,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,83.4707324184251,731.040427336501,2.80101987854925,0.176381077726297,9,3,49.8009439047192,0.0141925738953599,5,88.6633325040856,24.1569739823736,36.4730491137423,18.6421522656558,25.1630604071803,288.220722963732,-0.0002397709412627,209.790792477132,3.74511284477965,1991,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,103.104795064375,3.35437815096273,1.44290291258877,0.309647623823256,16,5,54.0526368509003,-0.903655340672016,11,76.4276664676601,17.7736010969498,36.4661245086473,18.6402050577102,13.7964987054918,278.061941816022,-0.0002723785447495,227.218378103965,2.06001603563176,1981,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,-86.2331700998909,-76.9649491091286,1.44262384000566,0.18698289983455,1,19,51.5909814410243,-0.116267379827719,11,76.3289162510858,45.0028843548973,36.4894188726383,17.1049491686873,13.8125653695483,276.876417552706,-0.0029158744102626,390.495295937298,0.631964977512017,1995,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,129.116036354278,809.287143131539,1.45574735050787,0.08764203683534,10,20,52.0966427904421,-2.2538374499113,7,76.342379412671,17.788076060613,36.4669897112286,18.6476710636273,13.7496296918821,287.24922223566,1.40413485221417e-05,76.9757257144835,4.63165304084056,1997,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,42.8742916223862,209.838078698911,0.0813598355051423,0.140308510871266,27,8,52.0164999661078,0.309803663019636,5,39.4386378727404,17.7665366583226,34.385930930679,18.6540183301051,0.371096533385005,284.11462143732,0.0002622392784778,205.737197841579,2.54097168880475,1999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,90.9306272802295,238.35302114781,2.37904036885889,0.191144066912772,1,17,51.0041380323842,0.35705449937003,2,77.2038292990236,17.7420448969559,36.4764590739713,18.641026203715,31.5001583695191,281.099407481878,0.0016693047309624,217.563682545853,4.16653174401063,1989,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,162.845508605899,-31.5103611033978,1.44461525232529,0.191527033868792,23,5,52.2085359164042,-1.92674279210223,3,76.7950158497895,17.7870440727639,36.447087146582,18.6433580880408,13.8299342552031,274.069104302819,-0.0056959023103464,233.07543315414,1.91433329002451,1987,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,43.6882708419244,1810.17999582516,0.762594669647602,0.141869266410853,7,15,52.0972734830855,-1.5649676513877,7,43.9368075136192,42.878378736128,17.8578355229297,18.6413795476867,28.1056167424379,291.520357414186,0.0009850534626126,329.097560889937,4.83086106730189,1996,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,47.5806301122665,-8.37311761242288,1.44278210646681,0.298380747271262,7,8,52.2844183626073,1.09502745160306,12,76.3471747595998,17.7619099899402,36.4742472171517,18.641631356377,13.8069613076878,270.655950638801,0.0087897296678503,29.5000415491115,1.39601352527461,1987,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,122.99255577752,1382.63173540064,1.44083532350784,0.173116449677431,11,18,52.1326006408307,-0.880699306735325,7,76.3438457398073,73.975864201748,49.9417260641117,17.7388483816854,16.3442539971054,291.987992111478,0.0004204214084832,273.116385781674,3.93249148216344,1993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-74.7800960558378,930.033293743811,1.44254696389571,0.217933617468374,5,14,52.5643881573785,-1.58182398777863,6,76.0671310686752,17.7491143590473,36.4763416004842,18.637614873937,13.8021656905586,288.508496222521,0.0026788298354813,146.877451586349,9.78869229997829,1987,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,23.6707194758342,550.782906100871,1.44145148696,0.147379833888524,21,6,53.2748865113644,0.630620093672136,9,76.3822047191556,17.7000602825502,36.4803288518071,18.640883706029,13.761043382951,285.175834967093,0.0002523946976255,64.9968203981481,6.05706828507493,1996,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,135.942091809995,1256.30191703941,1.44047423421212,0.17656173649441,17,11,50.8516781087536,-1.03150549691379,9,42.7391564718131,17.7497928353457,36.4846754891554,18.6453974664552,13.8151018455935,289.966959414746,-0.0037136703585756,444.319014647533,3.20016814346273,1988,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9.74733305581768,135.632826476098,1.44276204878403,0.191278257243483,28,4,50.6460615183544,0.0371399806038717,6,76.4023512107924,17.794102962697,36.466404156388,18.637796841493,13.7982224193235,287.848892355568,0.000100011772033,282.038482630787,1.36998699277142,1983,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,-21.0685438348287,312.729815355634,0.588879489108246,0.146815408790985,10,3,53.6430843746121,0.0848104432377212,7,44.0499900596306,41.0534546262313,28.2279232727926,19.9100079186715,6.28161566203365,282.134398263215,0.0006214604582747,277.248235602352,2.56493363840884,2000,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-80.1153811866524,312.272281067999,0.566972081039832,0.18901339692653,3,5,50.7042016225531,-1.23173718357872,5,24.5778916879624,23.6423561498718,30.2389353645014,18.6357130633539,11.3765360506027,282.516095669129,0.0002010046418155,48.8527974608797,1.32784332483605,1997,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-57.759192267892,918.295938720211,1.44169189277541,0.192142499636272,18,20,55.2068487976939,-0.950556550744382,10,76.2720168081868,17.76526746747,36.4585363781101,18.6441325681849,13.8069690865998,283.693856558419,0.0001747587662816,150.080218617019,10.2455418951537,1994,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,56.4638465614297,470.91437959159,1.35571922658979,0.247654139221771,1,14,52.2774211242843,0.775595119858072,11,76.2507326944974,17.7245153000204,38.1759447074051,18.6358963519674,13.8039701417229,282.488795766116,-0.0027698795707453,152.685182840165,2.17379132197516,1997,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,194.502045112544,-295.548061043259,1.44131744319293,0.220141644236968,6,6,53.2227435537988,-0.238935047374126,1,76.3704967006654,17.7776658354671,36.4729643945282,18.6452782417554,13.8201576242601,261.581088284928,-0.0017803253661006,37.8738896315465,-0.143374603809434,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,68.344567833659,-77.5311364122391,1.4407494111805,0.15314151923273,4,22,52.4817345964503,-0.543481773180885,10,76.3392856461102,17.7208889771715,36.4897469310353,18.6359219353686,13.8036712100814,286.472630939251,-0.0015965952046914,248.001014374412,2.56046691256146,2000,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
