target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm10,pm2.5,so2,ssr,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
8,-28.9683590299468,833.343918204748,1.44161626550212,0.196489597802299,29,9,52.1030168019885,-2.15071301008534,7,76.3023485975975,17.7513165358083,36.5014211792285,18.6383928997123,13.8168265730523,1422654.05944794,0.0008452094678344,278.80172168189,4.4232272225333,1987,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,94.126663497289,813.816939680511,1.44068126268659,0.260338157447386,28,23,52.0557643387624,-1.58445949673543,1,76.3611522583103,17.7438653442188,36.4791716370362,18.6391099372702,13.8053126276389,2344626.71556172,-0.000873741138797,234.422092035344,7.50172515853705,1984,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,166.74967762785,-85.7372360986699,1.44192559426474,0.201420624841838,14,3,52.3543091261543,-1.96185688927912,11,84.0596085493854,17.7385242635417,36.4866634262932,18.6424080472494,13.807814955989,706693.131673809,-0.0002432280714925,-13.9874270635101,1.11514936198124,1989,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,143.780972204155,785.65937712046,1.27350706191027,0.150115167561904,25,22,52.9520529771346,-0.20131565151035,5,79.4275152445886,26.955138530142,35.629333277116,18.6395687036268,22.4271198484418,9838119.31171476,0.0017461031606005,268.484318036208,5.16682881883445,1996,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,33.7459048655743,1504.37526972484,1.44148569957883,0.162795275732825,11,13,51.0957293922888,-3.00737258946654,10,76.3079515275591,35.283874763001,36.472560079122,18.6506740619803,11.8105412522102,4299590.18488401,0.0006542428946212,274.154535063102,9.0307197458041,1983,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,155.367657536176,1271.18035344668,1.4412828264992,0.205640752372755,8,20,50.0134025638249,-1.80577288389237,6,76.3505663637885,17.7171199195626,36.4631012793425,18.6405444486415,13.8050021675506,7943476.62015706,-0.000170062460642,183.215665029385,7.54519060532037,1981,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,243.177947113621,662.520348418999,1.44169277847142,0.130598442972809,20,2,52.1412056930164,-2.24523275396097,6,76.2692904773504,17.7148473073888,36.4978530362583,18.6510577920586,13.8061035357393,3369129.28646437,-0.001078776357598,-28.760175089324,6.19466763316194,1992,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,-108.069597685143,216.793234959604,1.44113405712361,0.174767379284764,14,1,51.4536244817171,-1.91567712681001,10,76.2833088342833,17.779480094485,36.493443344505,18.1840531110572,13.7927121865155,1842785.05951694,0.0048352184959232,225.673948032487,2.71546571537647,2000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,92.8148887490003,1238.16575379572,1.15813613985768,0.118947314079172,13,4,52.7358401051903,0.0519902422339407,5,43.5161319493813,38.2097595171081,38.6809978642335,18.6417554273957,20.9799230998353,21.8729684345307,0.0004470108814597,237.638055712799,10.8859499971425,1986,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,27.2017284561087,25.5279757171221,0.134127019027114,0.161227348374078,3,7,51.4179786651721,-1.86116836161642,11,-115658.89317784,13.7113530273795,33.8548810439508,19.4433185623323,31073.7854768322,-26228789.8820634,0.44079250299826,133.938350454923,1.45032069418449,1982,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
