target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm10,pm2.5,so2,ssr,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
1,155.074003913795,270.452009939038,1.44193422038222,0.227046974719809,11,23,49.8849418520917,-2.1316878202419,3,76.3528987887978,17.7346528615219,36.4644961282116,18.649516195496,13.8056747548608,5364339.87944188,0.0006329259240027,280.97151185145,2.71297506446937,1984,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,156.523585539358,579.516203514298,1.44118309806541,0.23107859370059,19,20,52.3704564445042,-0.983317080554182,3,76.6777135875873,17.7594988929506,36.4848523169457,18.6457199945553,13.8039499986783,474020.361804145,0.000455145650891,319.847366190976,5.85095405792305,1986,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-55.5033679816145,593.328814546994,1.44272656557276,0.209784561384616,27,20,52.1366771486131,-2.40771622257693,2,76.3698092367433,17.7096347441601,36.5132326509014,18.644684063563,13.7940539574328,5694694.30174849,-0.0013930829880858,217.053192629452,4.23868499698696,2000,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,161.755678961047,213.621867728138,1.44038140709151,0.331057765615746,2,1,52.267140559357,-0.504403963203944,12,76.3091646158132,17.7483907344201,36.4790188467645,18.6385444397055,13.815457557187,4658629.2085523,-0.011778572923342,143.890651208542,2.29515916040878,1989,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,197.874926071351,1223.56565000967,1.44276255775372,0.138402930115967,28,20,53.4700619886877,-2.41194163996152,8,76.5978706330265,17.7525734002844,36.4522631488005,18.6374450520291,13.8035889279805,4958926.70142774,0.0017315859086391,372.427817815095,2.73795315917392,1982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,69.7144773189579,249.464700547645,1.07653842859027,0.193899374503288,16,6,53.2181367138699,-1.84280303946114,8,84.0563206636504,16.1977407814753,33.1012412191848,18.6412313503223,10.6082910273017,108516.214984372,0.0006173001986581,265.578115098448,2.93620664744121,1983,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-6.42529731652746,1092.88926904487,1.51217115117858,0.211640554035196,14,15,50.1131824297503,-3.21080031268018,12,79.4237136982632,20.7463241195104,34.9303378826596,18.6436941998529,8.8140569789047,657157.301956763,4.23218529949347e-05,56.1033434681864,9.52693257347043,1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,57.8499030977518,1019.59435014346,0.460212315345762,0.208348289916643,28,16,53.1477859419323,-1.15209097788215,3,44.6835759663057,32.570201174464,26.9721632021352,17.7311272382995,15.9143332493105,3372229.30052167,0.0010146089066105,22.4103074738797,10.137931871163,2000,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,199.346689340753,10.746033793121,1.44148484676474,0.216658019081888,20,5,51.2514544446041,-1.08815933767328,8,76.3384161144295,17.7875068974757,36.5018591701247,18.648635244108,13.81927217224,91917.9523332256,-0.0018676199926813,90.1443897778582,1.41864355609004,1992,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.9515153724255,636.614560992925,1.44118304334503,0.18758999058425,20,6,50.4159432348105,0.0399033335934544,1,76.4216455453109,17.7595497617841,36.484852884232,18.6414316215112,13.8039496869031,-48452.7837202228,0.0011890124513317,228.275041182209,6.3646792700253,1986,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-51.3822382876165,201.352018065899,2.3247833033697,0.130932815516515,14,1,54.5800898205381,-2.43876489222469,12,88.9196334509034,17.7509324896536,36.4711275176039,18.6362336738198,46.7519523235075,2517020.15378554,-0.0013938406304955,186.577579774305,3.13597705804573,1991,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,185.784524662648,361.096991721067,1.06856104174624,0.120466609879414,29,6,51.7715650183005,-0.528619597729848,10,24.8829603704355,18.208251967188,-5.57916524133736,18.6476706244138,9.24621660602842,61291.1436253292,0.0002904982164711,152.092257882534,4.35665892597269,1997,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
