target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm10,pm2.5,so2,ssr,t2m,tp,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
3,-34.7572922325576,883.984574899873,1.26979419934377,0.162660466306276,29,11,51.8629460027548,-2.60644556825677,10,37.1192332016591,17.6441624598259,39.05099510178,18.6458284400416,5.71970491837082,4452769.27988624,289.094277496906,-0.0007152060116863,6.59395632314517,1997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,120.565866982914,433.144046787067,1.44206617586508,0.161090235577386,24,22,52.3903504528408,0.44664246212632,5,76.3654833944639,17.7017641922209,36.4747376027477,18.641305439912,13.8118877173144,3797770.01566981,283.093175307158,0.0010264340071018,4.54312016525678,1981,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,-1.48005332242693,727.612239462632,0.381885358708505,0.175819998353077,13,8,51.1232400507177,-1.57779346949938,10,65.6675639260092,12.8500680346518,42.1019687614149,18.6406573208971,2.18835332709853,1070053.06662538,282.173104775625,-0.0047934724593106,7.22108530556521,1993,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,103.630510623802,610.187355836855,1.44236725217516,0.100345212827802,6,15,51.5529055989575,-2.94355997215171,1,76.3953908486277,17.6977870314828,36.4889677569519,19.535012760968,13.8448518551555,1061761.48981539,278.788276838179,-8.02904603340019e-05,4.0601558929693,1998,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,31.9733936301417,333.593736055921,1.44270169361525,0.182106403236118,25,2,51.3992698504909,-0.186442882526724,10,76.2790136324438,17.6969614524251,36.468162716973,18.6362215295188,13.829536202032,6363186.03975725,288.839367128479,-0.0014376352148925,5.32072738359681,1991,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,127.380692627357,545.081795998467,1.44226135403975,0.202920225633568,10,6,54.7071201131436,-2.62577445844683,8,76.3132838204878,17.753345713517,36.4581596648465,18.637659062427,13.8366159143217,160736.691036342,283.288668706728,-0.0005277534338398,5.45320225596734,1985,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,140.967607799188,1144.01742673858,1.44196294274273,0.193420346768722,22,17,54.3671151234356,-0.293475918318892,8,76.3400331348873,17.7927608281749,36.4857280460779,18.641967838134,13.7873864019624,3404069.9129285,289.205953787639,0.0002526514767916,4.58877965594858,1988,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,119.661444159995,468.76687412506,1.44234465560032,0.269535957185568,6,1,52.5628552140006,0.712253589729344,4,76.2471435069383,17.7458999803137,36.4678112419312,18.6383595685206,13.8045402763185,3022621.27759228,275.848653469831,0.0051802514362481,2.72721919265938,1983,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8.09331000432553,142.268371083255,0.855849652353968,0.157091043817101,9,19,52.0745328660622,-1.4909134043695,1,101.159184771763,14.7707686831104,35.6293322982626,18.640260089996,20.3633902618259,4274616.62982684,278.451934268558,-0.0028993344881124,1.3446016812309,1990,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,231.834621965845,574.486044808575,0.601154303318242,0.14312511235093,29,3,51.9623132056041,-1.57376999668396,8,69.2894958854821,11.6490232794508,35.6293328465621,16.8792586608635,19.1048894485492,1901282.34013555,283.809722408562,0.0001028422415274,5.63264496993748,1988,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
