target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm10,pm2.5,so2,ssr,t2m,tp,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
5,-92.5685124682941,549.628586749276,1.27350703199955,0.146867845632392,8,16,51.7923819244793,1.12071093369391,1,110.383068578398,22.4852496809066,35.6293324006359,18.6141096187568,22.4271196724846,1227219.67787757,274.728382794617,-0.0004567657025642,3.46179939626612,1998,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,72.3437948891853,1126.64937116319,1.70226137727431,0.235406390759784,31,5,52.8864835593261,-1.51562306855507,12,73.6122684446085,16.0126510994853,36.4821660954046,18.6449213037746,9.10587821223784,9270.71614830595,278.831159992493,0.0017027564955513,7.30079775825115,1990,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,134.422252372855,1102.94211082869,1.4413649031018,0.173507948076297,30,17,52.5484334935367,-1.91235592262768,1,76.3388005713345,17.7604849510581,36.4773418640312,19.3899489593403,13.8316860005171,3271695.36782729,276.364526445034,-0.0007611242051779,8.68406895646636,1982,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,-43.3444923609282,185.276093690048,1.28136748204692,0.0657177585216278,16,7,53.8305546350661,-0.172192717310534,10,76.776997726862,9.05272532118252,33.5821528482432,18.640993005876,14.5716125438585,93664.1554649327,283.785963260105,-0.001548441990858,4.53652914577685,1996,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,-64.1244839438806,-125.173802433275,1.44192869614704,0.180228696606847,3,2,53.3380800463932,1.21165391771394,2,88.4764370503388,54.0532555206738,36.4725055840423,18.6726816951613,4.61745467344763,3658428.48512932,275.488439456476,-0.0019744335347711,6.25366650380728,1992,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,-67.3872553494727,547.772382547364,1.35210169752502,0.159625982309898,25,17,50.7347557099544,-2.67489781102558,11,76.3180544629349,17.7588847937789,35.8805061080249,18.6464749935791,13.8218546320507,3601759.73489399,279.726210500126,-0.004352007546897,4.06678983747573,2000,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,-44.7465732187012,1466.67861952409,0.984199329480304,0.168596697139461,31,9,53.7829206247526,-2.02434183095358,10,95.1195743201009,20.2581544423857,31.3769551922713,18.6451500518355,34.1084637333929,751039.894256402,281.836837030529,0.0026797124887256,11.2519554154723,1999,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,70.1198859199442,1546.03791519076,1.44269984903834,0.177883139410321,3,12,52.9231188463266,-1.20302534561651,9,76.3710166201987,17.7563699954693,36.4776198574717,18.6419566629427,13.8075091772154,6828492.96016758,286.147849106241,-0.0030733405144854,4.66717019379096,1988,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,93.3937580203516,319.011645008779,1.44164047508085,0.218936596870265,26,5,53.5926363161245,-4.42950620413845,4,76.3076095815319,17.6987199096408,36.4438050479039,18.6408501189378,13.7957528543826,89368.9387342427,273.846651059021,-6.2647457307994e-05,2.10100790595482,1990,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,233.514858018786,625.540987790081,0.492179424274919,0.203114699534694,10,1,52.4181132037783,-1.59689735734383,5,7.99475606225652,40.1737758031194,20.3821151293261,16.8304686056165,9.89797687283959,9889855.20287365,284.374265379428,0.000959815417863,7.1389275333972,2000,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
