target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm10,pm2.5,so2,ssr,t2m,tp,wd,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
4,43.047164273291,342.166530855112,1.45571233119522,0.14975036143933,8,8,52.3510216987285,-0.868800298575366,3,76.3933153600611,17.7359458929528,36.4892046535924,18.6394425614456,13.8176682383247,410690.560441786,274.461583755706,-0.0023304968313491,17.3430290158715,1984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-10.3770430908097,792.691634740526,1.44262415191701,0.165642855291148,15,13,53.7018677492755,-1.50920275292327,11,44.3953965154186,17.7404145888805,36.486335096332,18.6431012490159,13.8138468612776,5019630.24138698,277.193469296764,-0.0021357802546303,-50.2161202390211,1988,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,57.1230362465004,502.455699751419,0.945906498885089,0.308643460660222,17,8,51.9341410168384,-1.36893138526339,2,39.6688030772104,11.1935080108081,32.5328330764787,18.6370833377673,11.7816713399435,-669152.034170742,277.653227853447,0.0014159428567398,101.027808088562,1985,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,115.445175698254,488.284464045312,1.4415419198132,0.204518533207394,2,8,53.3596179429116,-1.63040274070188,4,76.3449123606623,17.75603519742,36.4783210239221,18.6416658262327,13.8140150348433,663441.579943515,276.902134952394,-0.000402674208023,109.740528988357,1988,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,23.9444325862551,74.7639285208297,1.44270580204808,0.27360607651186,23,3,51.1566497785299,-1.52783033711891,1,76.2684762978462,17.762515309074,36.4713388203763,18.6429425338348,13.8490598820469,1807412.68961507,273.759325250282,-0.0002071207239672,221.267337836731,1981,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,67.2873091125106,758.940401887021,0.134126982919363,0.207899320294025,27,4,52.3675957019006,0.934804347993232,10,-115654.168164947,11.3296421787541,48.4945186589148,18.6408688111794,31073.5515633249,-765.049763398571,281.384916238636,0.0005133105695344,255.992899213519,1981,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-3.03544194414322,-23.957562380325,1.27350702561398,0.17804008639864,30,2,52.587748931516,-1.3438760990487,11,90.8745015816607,15.6437194427349,35.6293320598367,18.7949504511941,22.4271195703591,1316857.45909784,280.986391755983,-0.0006903992251616,69.826099511297,1983,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,20.7790707988987,1113.03292155875,1.44217699172709,0.125942132795352,5,15,49.8339457541602,-2.59799060783607,10,84.6203077675169,17.7356754999199,36.4761727427574,18.638411064748,13.808181356847,8671334.00987494,286.015929057633,-0.0011909525135024,201.856014035367,1985,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,79.2050589924125,1072.18434676245,1.42537748845473,0.136514347987306,13,13,55.3094058581655,0.439959887116132,7,76.3427920285938,17.7337018139498,37.1368322461593,18.64369381935,13.7982921611465,6219141.83819394,287.22770791332,0.0017336590588694,185.716487560207,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,87.4276725418881,213.973695798984,1.46454940311355,0.187289473885775,11,0,52.8961371119359,2.16256523360725,9,68.6437718276451,34.889073240693,37.2788365837399,18.728893492134,12.777077960823,7449144.42709005,281.817926014162,-0.0001608771940903,271.716876083863,1984,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,135.115201605584,1052.3645273393,1.4420415739196,0.235867344517818,15,20,52.2123165800266,-0.236608073276739,5,76.2905666897115,17.7641832182442,36.4918472829085,18.6416125279413,13.7885912344793,9716416.66483923,292.881951159419,0.0002355874689961,31.5878360312886,1998,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.55045729591365,301.19520863697,1.44011725255961,0.223920853529812,23,16,53.6436441465269,-1.09824206561476,12,76.319524829763,17.6933088647454,36.5003143734557,18.6363387996276,13.8032229522907,988008.626051397,278.34175526536,-0.0002284502048038,211.096658965182,1985,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,73.0836054469402,63.4167728357842,1.48402965405723,0.160666242590146,23,21,55.2392707835502,-1.78128525143064,3,76.3276962140764,17.7503258551644,36.4768388079479,18.6409934241353,13.8129562814997,2049195.95246413,273.898916166763,0.0001848977188823,247.639639482095,1996,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,22.3084898579261,1278.90978935967,1.8044524718747,0.166983349959439,12,18,52.7020966431749,-1.55518744186836,5,65.9259656834112,27.7385254171421,36.4948357772762,18.6410248490914,13.4811294585037,4080163.74159217,285.642019084213,0.0019759762376636,213.011799078245,1997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,42.3409529808641,323.538954010339,1.07653837001782,0.106640706930084,9,21,52.3905601948429,-2.0453525875619,1,84.0252192424279,15.748002093656,33.101241324195,18.6428845007051,11.5268284291771,3050010.16598975,275.990499639457,-0.0001344276071708,61.7425825100395,1997,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-72.2943257853832,473.816192416828,1.28136744399503,0.1928013459309,14,9,54.1857595326685,-0.370523807086386,7,67.7530992304852,4.6643521812536,33.5821532351936,18.632331849,14.5716126034567,1662476.42871595,286.710104384242,0.0021463327780017,249.83464413038,1984,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,149.802420379708,211.733945135427,2.52373377807454,0.1796688947019,10,0,52.5075606515175,-0.263365579467757,4,78.4726457613474,17.7420549805179,36.4764597796649,18.641026570006,32.3062986251793,2490045.94130445,277.550381097658,0.0039094732193255,130.965699887353,1989,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-65.0364920026879,165.0459952172,0.212140714978204,0.138297780857545,10,2,51.7671764477355,-0.671198062399137,11,58.9299314793522,21.8849326455045,29.7923273447407,18.6360894922054,9.07634176326862,1507579.23731002,277.731868696231,-0.0028442404704001,189.575495931538,1996,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-91.7625088470148,243.033895185942,1.39960815732517,0.16089620981751,29,8,52.631242082769,-2.0592603571101,8,76.3510638166374,17.7297090666748,35.4030813858477,18.645815667477,13.8277649742516,1601204.2308881,285.8777752257,-0.0011596921823,207.635428624953,1999,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,81.3898051602206,462.789696977294,1.32069836054638,0.115457215919594,21,1,52.4007497809058,-2.33665616975759,6,125.828279682845,34.6294112602198,38.6867648142139,18.6413412557881,14.6391874684716,4235490.93595579,282.414387958833,0.0047669494064229,289.903071796232,1984,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,25.320125903325,1155.8637602206,1.81049598067679,0.153679501055847,2,20,52.5063658702432,-2.33896180231125,4,66.4293524833083,28.1987352401413,36.4730502277789,18.6499641935541,25.3237958547049,3830987.45798834,280.035070667002,0.0009311452208104,218.154247652461,1991,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-98.0578618131742,704.994445401461,1.44216666035312,0.220432370013354,3,1,51.9229634833748,-0.628724514468825,3,76.3385879703327,17.7514839534181,36.4476413970145,18.644445093906,13.823002253769,-3507963.3378086,274.707520458578,0.0081328943650557,236.685304794051,1982,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,129.155075227878,332.268999189364,0.869540034686158,0.0936977360477541,21,2,50.1608177108957,0.787743659813877,6,80.3061442417094,9.85290123013802,49.0216953154828,18.6445236479913,1.52279977816016,2359347.17264478,286.145641628606,0.0007464649512023,161.837674491605,1995,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,196.855622952345,-39.7363253901742,1.25334894354724,0.159522053229107,16,7,51.5091556703191,-2.31381428558858,9,38.455157169839,17.8276045852078,38.466324729571,18.6334852183046,11.9557501875804,252680.007142358,286.715077831264,-0.0018721303199471,248.072420616787,1989,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,-44.3564430784503,524.653492568782,1.19617275306675,0.134826845709231,18,11,52.5749384366512,-1.33525471003111,9,74.2507558952174,26.4411341455534,27.9368613427316,18.6466269161381,12.9099724384526,3060467.33217982,285.369259505518,-0.0004207738896838,208.933415853937,2000,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,172.833822496605,183.124904493445,1.4403333363685,0.15621440923586,24,6,55.1247974918907,-1.4833813961512,12,76.3593240403151,17.7450519433842,36.4447520124561,18.6412496358976,13.8559005123507,125566.483003125,275.199265199394,-0.0005510777654006,358.468694712761,1986,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,197.668228614766,613.201946268855,1.44154023464623,0.23021813403171,24,17,50.9439387978682,-0.270298643593103,1,76.3663678734202,17.7224128492771,36.4956679012103,18.6421281427052,13.7848727215487,88590.0508668504,275.00884739483,0.00228595651178,26.5876354220695,1991,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,44.107627467241,1695.52686727263,1.43997300125085,0.167114536529797,24,12,53.7153064910514,-0.431145336927593,4,76.3560790314604,17.7608993464691,36.4668834109455,18.6382723108432,13.8230095471182,5385862.25335048,282.191203675911,0.0009569891569899,495.704637546181,1989,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,106.675056920343,771.950929425561,1.44150333180431,0.186754484857722,27,21,53.1578796956265,-2.02612995494689,9,76.3263024021968,17.7471994317735,36.4637677035983,18.6507921797621,13.8090408314565,5671441.83947459,283.772667969274,-0.0001008632736608,257.361127739657,1994,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,-0.0838510040387419,711.660750524412,1.44233631452485,0.120245474378999,27,23,52.7731234407061,-4.55054958135503,2,76.260564743004,17.7708556735357,36.4901864667588,18.6283627399151,9.2177639805704,3193425.96940916,277.688732413334,-0.0017154692170253,246.59082222856,1995,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,-134.093474282898,923.867644179735,1.44217667809422,0.180548106814397,19,13,52.626898452921,-1.72848359884104,11,76.1956372631529,17.7578146716214,36.4871710161247,18.6397026227542,13.805761199186,3429168.87242254,280.914479572592,-0.0028870592803736,253.259110411947,1987,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0.583114957377859,983.46793048788,1.33759270198405,0.183346245976741,23,13,50.7947717678054,-1.53994959479615,6,91.8698645334186,17.7747177754664,35.2675962365736,18.6467610866489,13.799704640064,7515119.80868496,293.724196592424,-0.0004082928666094,146.842290931869,1999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-140.06006087175,87.5882240540067,1.44111701288966,0.106075294986845,11,6,51.6538014975946,-2.61673789847316,11,76.3541373850916,17.7411432428851,36.476006614563,18.6399076250732,13.8056107345156,170882.564969269,281.607411487412,0.002158134846671,289.469721738102,1994,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,120.261282774069,1420.56758582862,1.45515805204123,0.155641050771728,31,17,51.7386480693299,-1.89907660213233,4,76.3157697998211,17.7470728372697,36.4818294903634,18.6395424416242,13.8183136038891,6936979.19235338,280.335962338638,0.0001978033152174,132.477224930776,1984,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
