target,Anthoc,Brix,BunchN,GrapeW,NDVI06,NDVI08,pH,Polyph,Potass,SPAD06,SPAD08,SproutN,WoodW,Treatment_T1b,Treatment_T2a,Treatment_T2b,Treatment_T3a,Treatment_T3b,Treatment_T4a,Treatment_T4b,Treatment_T5a,Treatment_T5b,Treatment_T6a,Treatment_T6b,Treatment_T7a,Treatment_T7b,Treatment_T8a,Treatment_T8b
3,-0.201138625694689,0.105201709031965,-0.358249248525817,-0.863171119566231,0.0847349261551733,-0.0078270708950618,-0.0208463378681422,-0.420411126565494,0.0065989360571174,0.0154603666933726,0.047227686710994,0.171622442352386,0.373471919113494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,-0.115530689587978,-0.117275837111232,-0.505289614650206,0.316079292138548,-0.0307355845803821,-0.159839542217769,-0.0379953855484035,0.046214430880845,-0.231863354820255,-0.134286583709868,-0.112764170212367,-0.317051713677561,-0.327645107671955,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,-0.0582253425978568,-0.0334137556446411,-0.192359469929686,-0.124740769785015,0.0279068929387259,0.0608008960559317,0.0391451169297681,-0.104022036717369,0.119311606795993,-0.0033226587869716,0.134453270675196,-0.148308796224581,0.0216305135513378,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,-0.25589631285126,0.0863968784605085,-0.794914191236476,-0.343012543067938,-0.0148651573432071,0.0250216403378877,0.037093637158217,-0.292808636130326,-0.109220233994818,0.0298080665830428,-0.0945595494467679,0.0893493075052678,-0.361520416576526,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,0.241328218156712,-0.0486401577757357,0.0207209580290689,-0.638404065787469,-0.113012610169636,0.063245703414176,-0.078127717428056,0.459703062347375,-0.290218748022026,-0.20558681495582,0.0893545291527056,-0.0814909892688274,-0.0194977574404416,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,0.636163181254455,0.0534282960166403,0.15990141743187,-0.554390143574134,-0.054448417853481,-0.0121377511365393,0.0029089823953459,0.520045569031802,-0.110799118588114,0.0243602579031046,0.0356806459873769,0.118510137050536,-0.234153544063033,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0.150581333456743,0.0628913393940649,0.389977629119399,0.928741973184492,0.0810114630624591,0.181473321296602,0.073644323432586,-0.215986886999533,0.112270660909908,0.263352127334385,0.175669849955605,0.0594365131561777,0.596066592025316,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,-0.354846694676545,0.040030142622823,-0.0314864911501873,-0.44307124083684,0.157674520737578,-0.094287860413941,-0.0267741089319,-0.153914360736582,-0.033473163900344,0.135751243741266,0.0273629965077414,0.249935814932531,0.412271721230049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0421181921363528,-0.0036205136691149,-0.382689806199596,-0.0138340690151386,0.103785321770069,0.106103312691146,0.0314825738423107,-0.0550275283804486,0.059192579597806,0.0163267494925473,0.17859817024076,-0.0052725303043556,0.428554187151543,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0.328973768271935,-0.0315134474999235,0.0709456525168402,0.161841123858854,-0.210666642210736,0.090962498994233,0.0069039668005655,0.496854637093467,0.0203655249393016,0.0216792368448249,-0.0215800582617429,-0.0798036714730429,0.099970472034455,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
