target,Acid,Anthoc,Brix,GrapeW,NDVI06,NDVI08,pH,Polyph,Potass,SPAD06,SPAD08,SproutN,WoodW,Treatment_T1b,Treatment_T2a,Treatment_T2b,Treatment_T3a,Treatment_T3b,Treatment_T4a,Treatment_T4b,Treatment_T5a,Treatment_T5b,Treatment_T6a,Treatment_T6b,Treatment_T7a,Treatment_T7b,Treatment_T8a,Treatment_T8b
4,0.0253911134751537,0.13846547034846,-0.0381492603638379,0.448150862565729,0.209450833545085,-0.0052501920782843,-0.0030705267773312,0.0585366264351363,0.0326597093039911,0.178759319564146,0.0839485925751909,-0.110647615923503,0.235466485101041,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,-0.121268166098475,-0.427034543373076,-0.128683100295453,0.878856977541118,-0.0014826835882591,0.0330216807438431,0.0166242508523645,-0.272467787026586,0.0319002582240268,0.0379905448642396,0.0254440416205667,0.0130510398084211,0.386623161450463,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,-0.501468362419567,-0.580370915625938,-0.011263737128322,1.34533646972252,0.310819338702179,0.388690263395487,0.116032972566798,-0.304967919117612,0.291539504717462,0.367399333975795,0.380241508462068,0.38336450119344,1.17757797425092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0.0932618149628635,0.162156527126631,0.153074010576323,-0.743902843491949,-0.310881457249661,-0.285264932894713,-0.0169717389510465,-0.0150205376190252,-0.0088570051933141,-0.34578440698798,-0.359284198092538,-0.450698748402724,-1.00044012735713,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0.115063718142153,-0.160566132491941,-0.0749541254406763,0.383685894498518,-0.0634081805312529,-0.115396998648879,-0.0787511465195828,-0.215321119627205,-0.0795136282703421,-0.110594007161986,-0.149386169639906,-0.108573953937189,-0.0172447848212376,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,-0.115793673990893,0.0436485363738377,0.0075115086773931,-0.146547640748191,0.033166085244308,0.121858621755486,0.0267639413789457,-0.201487737613914,0.204590075184198,0.0638121046325279,0.0213723424412556,0.0155669711050734,0.0558783106911937,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0.0621774140463389,0.367923450866332,-0.0029590562929071,-0.219100321529076,-0.0561325367092689,-0.147031495045893,-0.0224250435183476,0.0728374025189788,0.122098543101081,0.113311002277851,0.166955056844076,-0.103292033574745,-0.0836586645085599,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-0.0587856554618884,-0.501538212926984,-0.0701156138896369,0.904510900695135,0.0100814399039345,-0.265286799523983,-0.0290247564029885,-0.510960106506699,-0.234763825775391,0.0975645328351558,0.0269033505745632,-0.0990512377357294,0.204445037760453,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.201019827877976,0.339117925100532,0.0503138912092326,-1.27341825732771,-0.182948616381783,0.114744867577469,-0.0574004660378711,0.105664687887416,-0.096193753217349,-0.287649623266193,-0.163952305185284,-0.374585106825817,-0.43213919656897,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,-0.197023444124051,-0.638593769697044,-0.135669069465487,0.860151466333216,-0.0144324595995216,-0.0126969351138023,0.0304923600339729,-0.702294903252497,0.399161165450037,0.144129649093728,0.233308077860552,-0.0335409861021177,0.534203331881767,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
