target,Acid,Anthoc,Brix,BunchN,GrapeW,NDVI06,pH,Polyph,Potass,SPAD06,SPAD08,SproutN,WoodW,Treatment_T1b,Treatment_T2a,Treatment_T2b,Treatment_T3a,Treatment_T3b,Treatment_T4a,Treatment_T4b,Treatment_T5a,Treatment_T5b,Treatment_T6a,Treatment_T6b,Treatment_T7a,Treatment_T7b,Treatment_T8a,Treatment_T8b
9,-0.331494372550325,-0.463811536738164,0.013235134817757,-0.212276325068343,0.0718685701747705,0.149316726873572,0.079079867491364,-0.078606970995664,-0.441640491946422,0.214601354409665,0.354273959577513,0.169430365681267,0.997253183883395,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0.0347307631130244,-0.191744292043627,-0.0806070887589656,0.315144162455521,0.637971792681384,0.0155456344179801,-0.0270651643054192,0.0003265711806616,-0.237167288515264,0.0242368279892277,-0.0468433555366814,0.25215776816779,-0.0093364550825558,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,0.039147497539047,-0.516481205193272,-0.213598373037739,0.432674775526766,1.01970554981944,0.189651440910389,-0.0245925125026332,-0.220467441539463,0.0169148913271107,0.0696686450338657,0.068485787041902,0.0453519766949499,0.278481922946794,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0.0283439018595986,0.305159849416398,0.16464618897073,0.0817575047141618,-0.173827477464058,-0.0895691222117599,0.0089313905836463,0.195214306659903,0.004642705705611,-0.0973678125016199,-0.102537676643121,-0.187276832664854,-0.398163411156894,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0.126086960205476,-0.167505481022998,-0.0651345778186038,0.432543635662884,-0.186461713310398,-0.2805176022083,-0.0361740449424418,-0.0942100268485636,-0.133922865001275,-0.0885399749113096,-0.14105749637525,0.254988419464382,-0.441084932011911,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,-0.0205366760492074,-0.0434757212423047,0.0573214383642437,-0.436707248810699,-0.137112867490648,0.0309079615450033,0.0210380164554086,-0.0736197040226941,0.0740201158444055,-0.108321746924766,-0.0023038903691145,0.0519557269266332,-0.417894324495995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,-0.188296904343485,0.21322256023863,-0.0320959102478456,-0.183276846880635,-0.109730291967564,0.0910716701860666,0.0278119317174243,0.134573019316496,0.114312934540734,0.0820160791571763,-0.0180675959190216,-0.113027814425097,-0.349216407106925,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,0.192186421286488,0.339978291978489,-0.0744194807894904,0.129911356700506,-0.0208426022435495,0.0055355773305437,-0.0516827295779687,0.0445585370127108,-0.0647829194924283,0.0305108095627689,0.0075623664835261,-0.125200080058901,0.353631179601649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.148481372780685,0.0523571472059464,-0.0469693908045796,-0.465040520105207,-1.12069171706185,-0.164247933489384,-0.0265876353276583,0.13015216827151,0.155193871869799,-0.0901038792560321,-0.115899861014571,-0.0809804538026907,-0.42021118766029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0.283020858721043,0.272298250412954,-0.101541376015169,0.376254666800064,0.361250427547857,-0.0868634378355429,-0.101084245272346,0.215131553002688,-0.273322130744217,-0.176453166377153,-0.144845262130616,-0.227784472281065,-0.374047756091225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
