target,Acid,Anthoc,Brix,BunchN,GrapeW,NDVI06,NDVI08,pH,Potass,SPAD06,SPAD08,SproutN,WoodW,Treatment_T1b,Treatment_T2a,Treatment_T2b,Treatment_T3a,Treatment_T3b,Treatment_T4a,Treatment_T4b,Treatment_T5a,Treatment_T5b,Treatment_T6a,Treatment_T6b,Treatment_T7a,Treatment_T7b,Treatment_T8a,Treatment_T8b
9,0.192570925647739,0.716789957239465,0.152526595335711,-0.477805516328497,-0.70103324944996,-0.0615985336083591,-0.263541914668372,-0.0372763668830701,-0.168587160839531,-0.199271443417935,-0.149906778418945,-0.119793373266499,-0.617367373831738,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,-0.0054437401116357,-0.464916928524518,-0.128701688014831,-0.214735991266429,0.251349712692384,0.0755015429042888,0.250284137788914,-0.0114906117794714,0.0585014559289337,-0.0289403995980491,0.146296610479491,0.228379447376622,0.382407097030062,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0.171115417852248,-0.282953093232282,0.0194400615390469,0.77969542466042,0.554948667427565,0.103034147635295,-0.0098586329759037,-0.0225582845772142,0.0907999393124327,-0.0459263478946201,-0.0749948291843108,0.272610314266368,-0.0053990706226824,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,-0.0756562127168084,0.0288645690283112,0.0485800556423959,-0.187938841643054,-0.267511245218923,-0.133821664487743,0.155486398652968,-0.0002829856982076,-0.0116904277139014,-0.0988765790644594,-0.0905691637858033,-0.378272347034302,0.250427316827737,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.0244866350561477,-0.133506711355402,-0.105646109302995,-0.52043138261784,-0.692039648181859,-0.0058679135579637,-0.228519007168998,-0.0605876332840688,-0.0251690865652871,-0.147367986108553,-0.211868501999449,-0.300800490171018,-0.587642840289037,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,0.161718014668278,-0.116093096312685,0.055130984199407,0.305028033881985,0.17461215996932,-0.111569948119606,-0.119780794648664,-0.0532615764973713,0.138619170356528,-0.219434188484972,-0.171100102222336,-0.173024874689706,-0.804685495969876,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,-0.0190221102893499,0.0386731991855764,0.0180013479650637,0.0772980101611187,-0.218108370785581,0.0320832783036168,0.141932054002201,0.0355710870987816,0.0163417465148821,0.053050858225766,0.0551468859815461,0.130141098773606,0.307195403659442,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0.252777546051238,-0.784745519112527,-0.204641724921905,0.0937918606361123,0.483115570545517,0.0449936429441143,0.0276649337352682,-0.0527064819972419,0.0242389620182277,-0.0449631721854395,0.132839125775103,0.174453984993051,0.321086948250994,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.235075503713284,-0.188231744693786,0.12487396648346,0.103255319048759,0.302646457983254,-0.118536567033963,0.251851749352472,0.086664624731086,-0.0706094854647723,0.122293927974458,0.0349363209325128,0.0407028189183546,0.594321794291963,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,-0.0116128197659142,-0.174793153159625,-0.0381357617602879,-0.737741630312696,-0.311372737443398,0.0391215660684318,-0.147445206407105,-0.0525684231549725,-0.206572738647687,-0.146411906381132,-0.0576774177395392,-0.0923150428923062,-0.498018652911594,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,0.122018494123509,0.143075794142536,0.141914499878069,0.56004123798482,-0.123586441636922,-0.0824686878502558,0.11704907256365,0.0074758779128606,-0.043314225987736,0.155168693669636,0.218974343446318,0.0155392072869133,0.223592594945001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0.100787179784199,0.184035605305504,-0.0803076665017322,0.134100174271505,-0.0314060907641093,-0.0135919373852024,-0.147451168561317,-0.0689356777565857,-0.072549841303623,-0.178423471866327,-0.459995717486364,-0.250632926119555,-1.35597940801577,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0.0676056850945333,-0.113704213185205,-0.0881312445004964,0.0430144420276024,0.394400247000964,-0.014640033652096,-0.099482206945601,-0.0365398845549431,-0.0341452740158846,0.0580040044090395,0.110743199214319,0.0605164239518024,0.0574157604245079,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,0.0907637288689986,-0.356378604619764,0.0434399782067864,0.141080899859028,-0.095934288867831,-0.0854647908472897,-0.0700754225644876,0.0111890499887172,-0.0929267874262464,0.0482649233014229,0.0377578228050659,0.056885150288087,-0.0337901414443427,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,-0.192879338144633,0.624687297587975,0.0520981907900759,-0.501008728950651,0.167803402539811,0.29821621171614,-0.128027194260258,-0.0065468115904271,-0.030015675321002,-0.0325374479495554,-0.125337979777218,-0.0738465479010269,-0.512415599919984,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0.187396252325043,0.304347262271676,0.0126872485372241,-0.604083173386724,-0.741849408299358,-0.146389214808703,0.137382463670037,-0.0686912513335931,0.278503712061136,-0.179451862060956,-0.022718889774236,-0.16191749525137,-0.125011932214909,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,-0.0487717198751436,-0.479731531744276,-0.0285210313630825,0.343891125997556,0.74928118637367,0.211515709754561,-0.0418083948895359,-0.0036536598073072,0.0387562461144251,0.0895511788704884,0.203942587106531,-0.134587472152902,0.360316518081416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.436512530881058,0.451634766983329,0.0219922941065388,-0.415271676360438,-0.441940910589232,-0.0761198320117445,-0.0074831190421639,-0.110098024075269,0.0899769355339969,-0.230703912095885,-0.181923806731659,0.0429502763202141,-0.269846748561266,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,-0.0972866209282689,0.0594827250531408,-0.0211956265709276,-0.358869662342984,-0.248489814892041,-0.0316435942519469,-0.0926094815393196,-0.0157885478948315,-0.125826299846184,-0.0682951474528205,0.0107763702172565,-0.133666980701507,-0.0429865593262087,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
