target,Acid,Anthoc,Brix,BunchN,GrapeW,NDVI06,NDVI08,pH,Polyph,SPAD06,SPAD08,SproutN,WoodW,Treatment_T1b,Treatment_T2a,Treatment_T2b,Treatment_T3a,Treatment_T3b,Treatment_T4a,Treatment_T4b,Treatment_T5a,Treatment_T5b,Treatment_T6a,Treatment_T6b,Treatment_T7a,Treatment_T7b,Treatment_T8a,Treatment_T8b
7,0.0690410151830223,0.0544253839549627,0.0245131529609369,0.209680116786539,0.853487028730937,0.085546457462931,-0.0007625887484046,-0.0039957460049072,0.20868288155322,-0.052075916880193,0.085223013670052,-0.126087565915776,0.224152871362956,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0.16449576421275,0.0984229164313792,0.0109397142799646,0.330579563873074,0.643608824781634,-0.0610941850474407,-0.239245298250653,-0.0176761820529552,0.293922841279788,-0.0012982370869238,-0.0417932115697724,0.10742751718737,-0.0245831729432844,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-0.113121945817488,0.170010387310299,0.133283597159959,0.470845969165539,0.59362637127967,0.146396299808224,0.217841827494202,0.0697289248450877,0.0167582378851493,0.155931026186529,0.280376695367326,-0.145628276395812,0.573055020419039,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,0.216748332557268,0.570071155982646,-0.0199891892682501,-0.60144814982733,-0.868348152850666,-0.188973689805945,-0.316941142911422,-0.0624755721059394,0.220770293112359,-0.196725341321551,-0.228127064063116,-0.267534564798821,-0.82562962079336,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,-0.241441210183615,-0.675248677774101,-0.0667466375002639,-0.376987366073588,0.160733058999469,0.117088742522746,0.222706734191121,0.0794242698163418,-0.422198932924139,0.175356863368401,0.217271244367799,-0.036929361781714,0.448473040969108,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.25066689067718,0.22870982926371,0.0688971425505855,-0.630490748213682,-1.08630132132839,-0.0333273646978746,0.0364907837839572,-0.0451811852252767,0.368531307687115,-0.136746767246776,-0.0242123929657236,-0.31597077032935,-0.970236776034172,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,0.213341186534343,-0.304338807132522,-0.0055049345570856,0.067937226789878,0.187862207382393,0.12092733461183,0.1620324003952,-0.0564413797961378,-0.145133947400734,0.0783397786288351,0.0246366739340278,0.253083246917512,0.382673452618764,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0.0572246858162938,-0.383327154833233,-0.0324522602925382,1.23556842836612,0.940638181772691,-0.0943554050538151,-0.0330812668576274,-0.0491780582247026,-0.0156199246058171,-0.0374603904203722,-0.0121364350199587,0.14680023449635,0.231273325638141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.100049777497826,-0.337890272180893,-0.127174445884075,-0.113237652809679,0.205216596701827,-0.124382190676551,-0.135921548416433,-0.0397324654071969,-0.215539164415903,0.017980626286515,0.0263744315138237,0.0803838146043817,0.0982247921321791,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,-0.214464483502926,-0.0951667380824564,0.0376634353178291,-0.910944320774332,-0.603436028006913,0.0099217291445206,0.115404324370192,0.0249448000468293,0.0741258307962084,0.0900672630878424,0.10997755265771,-0.116244486601019,0.0023353959981578,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,-0.0597919036140279,0.238294561446219,-0.0059344409292512,0.155324919566302,-0.77608953786301,-0.0509093085953321,0.053094797454829,0.0039322975828806,0.0345272329678979,-0.0721557277962374,-0.116324992867518,0.126357818208999,-0.10492044353834,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0.0277320886336952,0.016098634977604,-0.0391528796064969,0.078813802761585,0.524983482379283,0.0988256132955197,-0.0381264459609235,-0.0274665481178339,0.087011294366765,-0.0181985679703825,0.0837280958954601,-0.130817098614956,0.0131086851305177,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0.185007869330166,-0.0084743836644681,-0.15641866289101,0.311073548426802,0.21185155619631,0.0431613956572814,-0.103374940179025,-0.048858182756543,-0.274284462047339,0.0986754363823469,0.138180336424178,0.0887847883972297,0.371245680128356,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,-0.0896684086565471,0.453241457859867,0.194726038648411,0.0664742315929168,-0.407462192172977,-0.230961400190065,-0.209560830633371,0.0268831365751989,0.703189795738062,-0.0848754619312646,-0.235702789010515,-0.107615790120843,-0.136005016249192,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,-0.313141897678661,0.0286862434805485,-0.0026873495101873,-1.30239329968508,-0.994400711565942,-0.0391855536862441,-0.102677157270276,0.0477704871793842,-0.306188030150641,-0.0907838977628399,-0.0813945411916871,-0.172985386465662,-0.775885225658791,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0916860027213154,-0.0064613719638703,0.089935521256053,-0.628422748190303,-1.0862105030909,-0.160127013694253,-0.0823265879732636,-0.0048966233832896,0.0999464431506775,-0.0559318821196427,-0.113123088724414,-0.246200325856203,-0.680720339367423,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,0.145091100868732,0.219427272845528,-0.0458274452930776,0.168673250458691,-0.232712903456667,0.0680791198970252,0.0107341398142846,-0.0192503520186941,0.311468601065414,0.16534397113956,0.0341241153597494,-0.0791675401087702,0.124571795785139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.059273707871753,-0.115819920665331,-0.1240406874165,0.18538310614923,0.0428293381775503,-0.084562724459206,-0.0519369561242824,-0.0340212247428695,-0.099894903954347,-0.0212584189382583,-0.189297336343386,-0.0011456436093194,-0.278585543569725,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,-0.657784383223191,-0.133548855903188,0.0959367515461431,-0.29002705734681,0.883814884351334,0.260903910101398,0.253083729469186,0.163807400449382,0.0158254645511435,0.25625139971533,0.211151970072695,0.131179850629987,0.818401244402573,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-0.249321441779588,0.17437499635936,0.0503316064403416,-0.309535466421687,-0.263416341436436,0.124760563709664,-0.0841356844986506,0.0656561875937252,-0.0815954741926778,0.128535524691753,-0.132696211471144,0.126420353404582,-0.0792370489443372,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,0.135405445408605,-0.219165902325101,0.090205332278102,0.482178524070753,0.476932437557529,0.063687611017979,-0.0452105844954209,-0.0048101945256385,-0.282310879330523,0.0817428042989164,0.112174407118033,-0.356759805611,0.302004701287834,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0125324506864141,0.144908393493824,-0.0044243371433307,0.624264537489546,0.0089744868605389,-0.0864319169695175,0.0365328310132625,-0.0279281982553499,0.155980640644383,0.0164695483471009,-0.0970941577179356,0.231864181255573,-0.130662170167906,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,0.140590946516787,-0.460593405032741,0.0058204045981053,0.407178106190839,0.203035548698234,-0.0715641899476822,-0.134441016272441,-0.0108215778300587,-0.383158243170396,-0.110365109946591,-0.0492647066294948,-0.0186643430071317,-0.273279148041768,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,0.0671472010787315,0.539275120500793,0.0484074932831946,-0.176961819043097,-0.880293216854538,-0.0418439781098253,-0.136860520086058,0.0213765214783006,0.223093750882082,0.0572040285346386,-0.0692776990423808,0.0796312483640446,-0.605906109990448,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,-0.0947713816655822,-0.219937317994,0.004654278246312,0.328611649718919,-0.0653487428898103,0.0715532040002332,0.0137490402683478,0.0176400757240936,-0.256835299222701,0.080835101469933,-0.0126035800996159,0.281004731346326,0.147384454009857,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0.149187578075342,0.43929730712885,0.0608191468994718,0.0535327433269741,-1.18749356460766,-0.111554872965315,-0.225726387323087,-0.0369051864182553,0.225800640749464,-0.139123730625999,-0.246099603909306,0.302788446302262,-0.651697248692367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0.132935680032078,-0.208054033940221,-0.105415063168723,0.156232575743587,0.27098124675359,0.0229947707267937,-0.0937358554943788,-0.0405708565721416,-0.123097016860289,-0.0605231034273063,-0.0140023647995973,0.0998568394783751,-0.0849259722685834,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,-0.110731753907272,0.222455866896193,0.09045984749039,0.291115581033642,0.259568958837631,0.0617675581561023,0.164261869290323,0.0313229304004979,0.184093484745323,0.225233280520801,0.18802287192585,0.157583633699319,1.01939993615332,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0.0654535100348886,0.305839307547718,-0.0046026378258703,-0.427468695724718,-0.84386355761258,-0.111498117032001,-0.377627048311243,-0.0169779981553224,0.0868725602732303,-0.120623856264585,-0.208958269233041,-0.182036502094762,-0.744744805869995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,-0.134108139020495,-0.656998387164842,-0.0585001715935081,-0.0230580914977751,0.89219728635642,-0.0161789090160791,0.0607988001980034,0.0236919864739952,-0.330291195805817,0.10603787013921,0.119934461477139,0.16949062937416,0.722957806446967,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,-0.0657515587576336,-0.310272623390013,-0.147740413176658,0.309548361469616,1.19827808411299,0.250326848091959,-0.0642395232296471,-0.0017028953401344,-0.412500543352005,0.101362472967815,0.172865846186765,0.107389726565004,0.482895965163114,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,-0.125796243612463,0.434078589952848,0.109288217461258,0.304216458428907,-0.007340066464335,0.040535215617157,0.128721791096351,0.047590159567237,0.196824296072483,0.0029679130983511,0.0177954742725988,0.349324108145396,0.289275916679171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0216078831906453,0.294754825361061,-0.0721308791346733,-0.2044183404647,-0.440555779878761,0.0811325593693317,-0.210285210722441,0.0066651998322294,-0.0543986314536172,-0.181147934528456,-0.0473729153713311,0.0130991869860369,-0.664457126588908,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,-0.288550642938239,-0.634285968811671,-0.138914916525967,0.382864466523075,0.640878115159939,0.128508462190839,-0.0285942225829063,0.0476183604175146,-0.431585663223465,-0.0380507795721158,0.0176115088104794,0.136047376394317,0.0438604964686336,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,-0.104738550181812,0.592872551491885,0.102468656035659,0.288752299118329,-0.213844626805419,-0.0003434259845518,0.0022823413058766,0.0229493671078008,0.5041334797956,-0.0147327197521428,-0.0067914947983133,0.116864726478542,-0.165668168409367,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0.240856183521378,-0.853456995077864,-0.297216949842783,-0.0741876728352137,0.878220722857439,-0.0327063087725805,0.0522204622639624,-0.112037386564017,-0.323986565367639,0.0638310930334227,0.199457310450421,-0.122441227171439,0.753794515631693,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,-0.221542273965621,-0.200827187776475,-0.0899528680690107,0.54855299823451,0.545325277004335,0.0021817904779204,0.0674625810536766,0.0048721297027117,-0.154012209920061,0.0231391921711068,0.0934054253486216,0.0923956593145726,0.139916382224408,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
