target,Acid,Anthoc,Brix,BunchN,GrapeW,NDVI06,NDVI08,pH,Polyph,Potass,SPAD08,SproutN,WoodW,Treatment_T1b,Treatment_T2a,Treatment_T2b,Treatment_T3a,Treatment_T3b,Treatment_T4a,Treatment_T4b,Treatment_T5a,Treatment_T5b,Treatment_T6a,Treatment_T6b,Treatment_T7a,Treatment_T7b,Treatment_T8a,Treatment_T8b
2,-0.15187245612703,0.791218595396867,0.150436859259266,-0.520871050789437,-1.61933855864607,-0.0338006862836954,-0.21193038239871,0.0307879540066728,0.50058561455736,0.0809288644179666,-0.0713460383503898,-0.13138747522395,-1.25117755055883,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,-0.0596729845019489,-0.0913187668195237,0.0852114154748365,-0.505539849042393,-0.641007579688546,0.159599013135566,0.0866729092322571,-0.0108554975198285,-0.507969492322945,0.0679717753857276,0.224507579488296,0.0521018484401315,0.0132420778171461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,-0.0123351172783814,0.156415560458463,0.0401858230824121,-0.323446104259195,-0.138519445326775,-0.040251515676037,0.092867137738825,-0.0021868643398896,0.344378810327618,-0.17807651395696,-0.0410320747217102,-0.0775787108193181,0.17513552178258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0207824584789306,-0.0540833801481208,-0.0374519648228018,-0.181350955131448,0.11452198040174,0.0301907158913913,0.035568990483384,0.0018365555883306,-0.0741682391096136,0.20119432351349,0.194657646403155,0.127038775542367,0.192285184895769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0021399626265018,-0.267298749904024,-0.0273515543616427,-1.11705912642532,-0.391997124388183,-0.114046355392924,0.128681050437691,0.00402106221207,0.127396984216074,0.0977346984295239,-0.0624078026826022,-0.105103167155852,-0.157414607746839,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,-0.0564200285165035,0.106648555135346,-0.0085361346212454,0.585442628874743,-0.294814685842922,-0.0775562979154176,0.104319615427904,0.0199017582092505,0.100670832263199,0.0555335704606693,-0.0487913495993506,0.28957910872139,0.282031103372464,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,0.151686344343182,0.212291388942832,-0.025789573477089,0.100741596191678,-0.278172345365013,0.0008577969187365,-0.129026835441931,-0.0161808922333401,0.188683856643051,0.195516400546075,0.0074082290701935,-0.0035090981950115,-0.0602982177500807,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.225666214605685,-0.656351309781654,-0.0837843419843696,0.172671524975595,0.24266940325132,0.053674464797283,0.102815764947012,-0.0370980362237418,-0.320035814128526,0.166626504424007,0.0692350864024033,0.0050293597073668,0.836287595573355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-0.0205642104087332,0.198296972855414,0.0448405421970267,0.168873939169364,0.0870986461483961,0.172322635276674,0.164934369201896,0.0258399950332702,0.301734592926234,0.0919920033744901,0.239603809605818,0.301447959193813,0.351406952746737,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,-0.0829877935162397,0.725196019217111,0.0103725047300083,0.165744374898953,0.350523417503498,0.0074621364959456,-0.112690378539179,0.0020440265680544,0.381579769826864,-0.068514101722123,-0.144329455907889,0.0400931368890939,-0.389788638593279,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,-0.11586000717143,0.378344067065641,0.140467560756316,0.189119763211031,-0.373091289379849,-0.0409462204875362,0.0439233645301082,0.0586246507879827,0.384759168844192,0.173113943478053,0.0673060553531327,0.287552062949144,-0.188224994474993,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,0.0703331813722124,-0.12809118260562,-0.0789275689658887,0.340193237018259,0.337427749470815,-0.0942812329351121,0.200979416348127,-0.0207517639090025,0.0914201643964505,0.122466828007888,0.0133876427229677,0.15695133001893,-0.0876277748459288,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,-0.340585302628529,-0.512180419448484,0.0321089535156965,0.117910483378729,0.74215578856008,0.145318852607209,0.29471872994303,0.056998102482004,-0.213866839441949,-0.0439310765392995,0.213389883746008,0.0903812787616444,0.674603028628356,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
