target,Acid,Anthoc,Brix,BunchN,GrapeW,NDVI06,NDVI08,Polyph,Potass,SPAD06,SPAD08,SproutN,WoodW,Treatment_T1b,Treatment_T2a,Treatment_T2b,Treatment_T3a,Treatment_T3b,Treatment_T4a,Treatment_T4b,Treatment_T5a,Treatment_T5b,Treatment_T6a,Treatment_T6b,Treatment_T7a,Treatment_T7b,Treatment_T8a,Treatment_T8b
2,0.0219105942313165,0.429724018417921,-0.116282538805915,0.0643167566499687,0.0020125089116574,0.0130184220196113,0.0325010680769228,0.3832865638118,0.0519605031271635,0.0166090882043303,-0.046558092219549,-0.0997213008089743,0.0384437414542963,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,-0.0714376598976259,-0.188241369319047,-0.100072874230386,0.475473232056903,0.480213563108358,-0.0661770672281745,0.0127204312012697,-0.187705837365757,-0.109762872784277,0.0155258930478851,-0.0531936048481887,-0.193001947547687,-0.237264115049474,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,-0.0304738252551238,-0.103855629079499,0.073984985909761,0.534404531166449,0.761376910832494,0.0629045623742929,0.254254509032868,-0.0204596387349213,-0.0564312365014261,0.210509606428288,0.248783615379795,0.0109596372624951,0.642044359968407,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-0.0604571862765228,0.266586197324651,0.0914642688165506,-0.423789236821332,-0.839144263686059,0.0296804946424885,-0.0072175603071867,0.174641878773987,0.0731855950798256,-0.0044299060888472,-0.0293713612309723,0.15807322719939,-0.336633269513449,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,-0.0840661788914354,0.256637162536089,0.0349678795136306,0.0056799216488629,-0.217657109266332,0.0082193707251169,0.2127031551225,0.49666412142007,-0.232752099824775,-0.124950467833263,-0.0190462394849206,0.25573206393463,0.0832930954098711,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0.0056487191971496,0.519922240929676,0.0731912310870214,-0.76559801460183,-0.80124066536837,0.0995981958405608,-0.0619367501724619,0.367718032754438,0.0830121716081444,-0.0189086204930788,-0.0109781178770389,-0.139632281676375,-0.250778721175437,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.241135615712206,0.0780600776412226,-0.0877657480380318,-0.11271196043362,0.0199262499136534,-0.0145667718149146,0.0010772940286926,0.0135550297791276,-0.0633211423147014,-0.0981638535335576,-0.0806809882135078,-0.0276480485495349,0.105916961592681,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0.263779399769566,-0.6795061941806,-0.0635739277131276,0.309896250507138,-0.448291663916873,-0.0653041449067803,-0.0133769018552714,-0.271216017388345,-0.294487874961518,-0.193608785745023,-0.131557567414254,-0.0008536954529264,-0.573602886037322,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,0.0687619932280843,0.491112710816856,0.097579945078217,0.0933733129132995,-0.577080733320574,0.0405828620666677,0.0477048086886949,0.434926234963286,0.140235195581119,-0.071695490408664,-0.0074385236175733,-0.0676380883023163,-0.25064261173762,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,0.151767726683569,0.138337912518458,-0.0373550921235163,0.661316639031695,0.545753801162732,0.088368268600989,-0.151293008372925,0.295489240496568,0.0759766450820909,0.0542560346760227,0.136974033948865,0.0426804342259332,0.15307086349369,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0.158158993577662,0.0090878913429072,0.0084727350271512,0.288502182940921,-0.143356624442333,-0.133607966706445,0.0810424951476115,-0.0074886418013038,-0.117302361042105,-0.0361147243370124,-0.144008942164808,0.111930488582194,-0.504803584008592,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,-0.146914672420322,-0.593643361242061,0.013633907987454,-0.192758225722548,0.38819121434977,0.262468350065082,0.0804090016562514,-0.275826050623129,-0.261195148802444,0.0989642501064513,0.0342940514934464,0.0199354023817205,0.23750850219299,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,-0.0473465008870602,-0.240927343635199,-0.0187098984634628,0.316654541025042,0.289579264497328,-0.0293337327122861,0.0068962566013958,0.0610944935013486,-0.234115630034423,0.188899727896471,0.0959989374359763,0.0123528662463155,0.618721283386245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0.221633361688641,0.471620424973091,-0.0171142258036799,-0.536548487198222,-0.285544463619082,-0.0598071574342351,-0.15803174673781,0.214450256008515,0.0821441795671917,-0.0886911146893276,-0.0669324939783235,-0.346533246199778,-0.442231219081102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,-0.219406640775232,-0.952333158706851,-0.149352600456034,0.301988347159008,0.695747972733501,0.0338172908472968,0.0995929646181145,-0.737076810195951,-0.124333740601931,0.0640211134941355,0.0611769548945911,0.343641040489507,0.783062830851523,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.036826530028335,0.1199188410415,0.146137203056573,-0.182178226345271,-0.442054067824332,-0.0419073058982714,-0.0661466314564844,-0.0812920736355713,-0.0647501358226836,0.0464225999245193,-0.0010836009884834,-0.101068771656051,-0.150898110860023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,0.0228492032190645,0.351707135240037,0.0951243644812391,-0.0331737382442276,0.66447348826878,0.111278120648946,0.0508625514766152,0.215063668178189,0.162452141731712,0.135743187912483,0.132208425990722,0.0617640793783798,0.273088217277548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,-0.0872265987161186,0.0271355503654362,0.006247226563112,0.379009924056251,0.691065634581792,-0.012631178516013,0.0667428772851692,-0.11613767674436,-0.0061705920569836,-0.0471637911068972,-0.0867023633832583,0.174967359564631,-0.0713120517093812,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,-0.132321693478736,-0.727395127057724,-0.0322488572376782,0.0163026514302364,-0.0024954323208698,-0.0823844242662125,-0.0305199456336138,-0.557449720980932,-0.129877896652287,0.0019036882750271,0.0489059215237193,0.227237462436552,-0.446511917413192,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0.0049133394434814,-0.199980283825898,0.0706702480918304,-0.0457910885784472,0.169901005180764,-0.0151064104313361,-0.0993294412292959,-0.12404620550636,-0.266410677132951,-0.0801902880987446,-0.0822807589562312,-0.431240810299561,-0.250119412915514,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,-0.144151443792013,-0.295716112043443,0.0694069985876406,0.0074956442298817,0.0675559903979737,0.0440270121517903,0.234618273551975,-0.485360820514145,-0.150569092888755,0.0943575219397879,0.172051957040913,0.0819026972056049,0.238237470746837,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,0.114799808050965,0.355796994537293,0.0068999954783392,0.473071589963072,-0.114488433743278,0.0447055655371835,-0.224933245865675,0.0273873539042538,-0.140227746571409,-0.0761966268682818,-0.0378690162743906,0.0172292219965514,-0.15043872988598,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,-0.264142506043416,-0.439235942614984,0.0175861521205646,-0.0356679247627085,0.4254515583326,0.0188699283250621,-0.0781607209007249,-0.377961891893439,0.150489133816219,0.146849936279854,0.20386839907746,0.145599492767483,0.334067846620433,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,-0.0374945762693962,0.299811715249424,-0.0324214621394401,-0.714948573372848,-0.153068917610535,0.0788288075920833,0.140577974259599,0.266945616698007,0.0532918084515451,-0.0708884785426438,0.0976215907713208,-0.20034032342985,-0.715343907057627,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,-0.0538262627355062,-0.113232391537616,-0.136233187183507,0.465220542422241,0.184910164957079,-0.0677012542545615,0.0576717994560003,-0.301880259565107,0.145099582018417,0.0396885983565382,-0.108615518673866,0.12968193950475,-0.160714271680746,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,-0.124971879109739,0.174847036305181,0.013679686365774,0.175155268817271,-0.214599635403144,0.0035627391966086,-0.345166893387389,0.116342875731101,-0.0530065441843871,0.052208443475393,0.0204516277564604,0.0935535251483734,-0.561474832443047,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,0.0323424110838497,-0.0558410664908615,-0.0144797088378055,0.241637144494346,-0.209262888584164,-0.0070405747342734,-0.0682745453600847,-0.481876674781406,0.139951775159727,0.0348993136076393,-0.156362048895497,0.0985515988787683,-0.547329880096066,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0.128375561040922,0.248004438190629,0.0672012490684243,-0.0560731384314044,-0.0596834916859625,-0.0304118705778205,-0.153987754688064,0.339352085493193,-0.0459621231635276,0.132796769652344,0.125992052150646,0.128168139366673,0.0429906359380569,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.20613234063956,0.543614294012988,-0.0874080875329717,-0.653000369893081,-0.154898483233915,-0.0637158374457872,0.0425384741010671,0.326515021770239,-0.172217924558692,-0.241729361618655,-0.154400083417685,-0.308976576090054,-0.525431851390488,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0.302439349493796,-0.0224189826773098,-0.0229076627667829,-0.892105691058452,-1.12024868046891,-0.078321176359014,0.0744665879190727,-0.316745208348743,0.136484311238117,-0.0986096360026288,-0.0235582526798388,-0.415088655908805,-0.486908912416012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0.223215955450623,-0.0880103094233149,-0.0969594507916146,-0.31591053622291,-0.0088812392097041,-0.213292628271048,-0.0747806231203359,-8.33120688281536e-05,0.183337908464276,-0.17587085638415,-0.152853160712171,-0.346514217141592,-0.267447095560835,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0.258670288680883,-0.523511753066832,-0.133626841511883,0.224449547178969,0.133165216730565,-0.0083038515051737,0.0885371832034141,-0.411127095281421,-0.110316744895267,0.0989185973615589,0.0259591601904653,0.0930929948396811,0.378316577262417,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0.0549140103810288,0.121047980156306,-0.107205128096546,-0.715065141381486,-0.331410044675745,0.0741931547279833,-0.0534070733524714,0.106440103510005,0.0471463186888814,0.0224183934824118,0.10431283748007,-0.0531507051329609,-0.350637177917971,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.140568646038703,0.286638918003115,0.0159900471776081,0.118671255398025,-0.228598729512841,0.0364730381503737,-0.149785457041572,0.0196289604253643,-0.0122359834660567,-0.100763875692655,0.0556549919048835,0.0971971090699672,0.313989311555413,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,-0.0843554125958286,0.163062776427963,0.0116568655921477,-0.192523715643956,-0.0167960732876663,0.0960058491235117,0.10023014940465,0.112940782393013,-0.166983010315463,0.0305694366046028,-0.0459188547983039,0.230675046249564,0.127866843543482,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,-0.0288031770459447,-0.893663542100523,-0.143665164127135,0.5950519512837,0.781855392293162,0.092816472993291,0.216371451595261,-0.620760374289775,0.0639845608529513,0.153535208026042,0.102766420386749,0.19255298599889,0.259575528189277,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,-0.0716851470862551,-0.0809770425501447,0.0240411082759591,0.0808853355129632,0.243239551753546,0.0016369791481944,-0.154349684228532,-0.124883888110975,0.12036566877835,-0.0619494214664004,-0.0217093545488949,-0.013216021177519,-0.33253344726107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0.142843094067433,1.00741486551001,0.157566468797748,0.504027089302632,-0.431685792156278,-0.126925908558759,-0.112919626755213,0.619055342470445,0.0710445092359818,-0.127080245901635,-0.179016828474644,0.0674859179240092,-1.00321878811702,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,-0.332721666691263,0.0313944679472251,0.0514678839876647,-0.539411273210875,-0.106286435198384,0.0983476726303238,0.303106205605808,-0.268490422792499,0.0049207073616693,-0.15529466530197,0.0084584056319778,-0.0333941416522579,-0.200701362532767,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.18160951638461,-0.0783314844023011,-0.0139237082429042,0.156334230192277,0.100905270563344,0.0184915597433176,-0.126951112390248,-0.0204851650732339,-0.157329487079087,-0.160454342109701,-0.0921481162311105,0.0338915446697422,-0.451574344027728,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0.0890280595105988,0.17563068376426,-0.0337744985304553,0.00622475189018,0.698577443203761,0.0901516718670021,0.136695797266411,0.159296996793719,0.173628121128958,0.125596623886008,0.241692551340285,-0.137189322611166,0.25943520177719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0369573828677224,0.218289813364624,0.0029582948895799,0.286324122469107,0.315316601624373,0.166598912611003,0.163586254310207,-0.0322246247224267,0.027476910573178,0.0197869756986573,0.200965864912655,-0.0192431764511202,0.0918878301071606,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0629166124909216,0.523826111960797,0.0178049371174169,-1.0967831836116,-0.971210773530262,-0.181422790002788,-0.201642052394681,0.363799905409078,0.183030226731376,-0.0886538553000767,-0.131197015647121,-0.0709988084006642,-0.862647068704017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,-0.290787302684248,0.0145368126164079,0.0611954060390487,-0.134569362996959,0.524367576085308,-0.0057505625660288,0.203816632575143,-0.101139290251983,-0.118121885067103,0.0895717337634374,0.0572366720645529,-0.0298323545645462,0.627464767362077,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0827443578918679,0.188379439732925,-0.0681974069839483,-0.261243634266309,0.10398849276634,0.0744267812903463,0.114948829865666,-0.10752002634063,0.0101013911897716,0.0244176176198274,0.201860077397877,0.0078993655519581,0.396582340885976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0691702460861811,-0.874270867618636,-0.128806128544545,-0.259808270650658,0.244758631253914,-0.0560066306460846,0.0556179586721699,-0.469145192210287,-0.0093489248836331,0.0500596301706913,-0.148456103543068,0.0228341551774204,-0.109474244811925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-0.329906939020689,-0.0695430695487963,0.0954215205557997,0.111126811022657,0.187254300789421,0.0906629093641209,0.275324023176435,-0.0289152302762745,-0.0054785042190416,0.0813754348109511,-0.0407868805351934,0.221313129159086,-0.0837916259974635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0.157437051169927,0.517647057371381,-0.0043536282604696,-0.332808382967282,-0.25046346397255,-0.232094853608838,-0.185190635019562,0.413576070003399,0.239563546878396,0.0358140178161077,-0.100853167817261,-0.214497097518092,-0.484977107794262,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,-0.13577670893685,-0.602612630613824,0.0735986750920979,-0.233745251167748,0.152050726610636,0.210533086206925,0.218134380042002,-0.363130330233642,-0.301575226001426,0.0347023281270788,0.351724893176844,-0.306285963120766,0.975486419723023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0.141825137950522,-0.312686270355557,-0.0381160229757973,0.232326898668543,1.02142700500553,0.070979858560173,-0.0021477703518302,-0.276951370548848,-0.135771267822746,-0.0087924016240579,0.0852027890132007,0.0648738285792564,0.392255720902818,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
