,inefficiency,P,certainty,P,uncertainty,P,mistrust,P
mRMR-SVM,2.45,47.0,0.03,40.0,0.49,47.0,0.0,1.0
mRMR_MS_linear-SVM,1.62,49.0,0.31,50.0,0.07,49.0,0.03,47.0
mRMR_MS_rbf-SVM,1.95,35.0,0.12,32.0,0.11,35.0,0.01,37.0
mRMR_MS_poly-SVM,1.91,24.0,0.15,23.0,0.08,21.0,0.0,1.0
JMI-SVM,2.34,34.0,0.03,35.0,0.39,34.0,0.0,1.0
relax_mRMR-SVM,2.39,42.0,0.02,20.0,0.43,42.0,0.0,1.0
mRMR-KNN,2.84,16.0,0.01,8.0,0.85,16.0,0.0,1.0
mRMR_MS_linear-KNN,2.34,31.0,0.05,32.0,0.41,31.0,0.0,1.0
mRMR_MS_rbf-KNN,2.54,17.0,0.03,25.0,0.58,16.0,0.0,1.0
mRMR_MS_poly-KNN,2.38,23.0,0.07,13.0,0.44,23.0,0.0,1.0
JMI-KNN,2.72,2.0,0.02,14.0,0.73,2.0,0.0,1.0
relax_mRMR-KNN,2.67,1.0,0.01,1.0,0.69,1.0,0.0,1.0
