,inefficiency,P,certainty,P,uncertainty,P,mistrust,P
mRMR-SVM,2.17,8.0,0.08,6.0,0.27,8.0,0.0,1.0
mRMR_MS_linear-SVM,1.93,9.0,0.13,11.0,0.1,8.0,0.0,1.0
mRMR_MS_rbf-SVM,2.02,10.0,0.1,10.0,0.14,8.0,0.0,1.0
mRMR_MS_poly-SVM,2.0,12.0,0.11,10.0,0.14,12.0,0.0,1.0
JMI-SVM,2.23,11.0,0.05,3.0,0.28,11.0,0.0,1.0
relax_mRMR-SVM,2.3,10.0,0.05,45.0,0.36,10.0,0.0,1.0
mRMR-KNN,2.6,35.0,0.03,35.0,0.63,35.0,0.0,1.0
mRMR_MS_linear-KNN,2.6,35.0,0.04,35.0,0.65,46.0,0.0,1.0
mRMR_MS_rbf-KNN,2.61,50.0,0.04,33.0,0.65,50.0,0.0,1.0
mRMR_MS_poly-KNN,2.65,9.0,0.04,8.0,0.69,38.0,0.0,1.0
JMI-KNN,2.8,47.0,0.01,4.0,0.8,47.0,0.0,1.0
relax_mRMR-KNN,2.67,36.0,0.02,16.0,0.69,36.0,0.0,1.0
