,inefficiency,P,certainty,P,uncertainty,P,mistrust,P
mRMR-SVM,1.76,5.0,0.55,5.0,0.0,1.0,0.03,20.0
mRMR_MS_linear-SVM,1.63,6.0,0.59,6.0,0.0,1.0,0.03,27.0
mRMR_MS_rbf-SVM,1.78,5.0,0.59,6.0,0.0,1.0,0.02,26.0
mRMR_MS_poly-SVM,1.81,10.0,0.5,10.0,0.0,1.0,0.02,29.0
JMI-SVM,1.82,6.0,0.51,5.0,0.0,1.0,0.02,25.0
relax_mRMR-SVM,1.75,5.0,0.54,5.0,0.0,1.0,0.02,25.0
mRMR-KNN,7.8,2.0,0.0,1.0,0.87,2.0,0.0,1.0
mRMR_MS_linear-KNN,7.79,2.0,0.0,1.0,0.86,2.0,0.0,1.0
mRMR_MS_rbf-KNN,7.95,11.0,0.0,1.0,0.96,11.0,0.0,1.0
mRMR_MS_poly-KNN,7.94,20.0,0.0,1.0,0.95,20.0,0.0,1.0
JMI-KNN,7.8,2.0,0.0,1.0,0.87,2.0,0.0,1.0
relax_mRMR-KNN,7.8,2.0,0.0,1.0,0.87,2.0,0.0,1.0
