,inefficiency,P,certainty,P,uncertainty,P,mistrust,P
mRMR-SVM,1.54,43.0,0.37,43.0,0.54,43.0,0.0,1.0
mRMR_MS_linear-SVM,1.51,32.0,0.37,46.0,0.51,32.0,0.0,1.0
mRMR_MS_rbf-SVM,1.5,40.0,0.37,39.0,0.5,40.0,0.0,1.0
mRMR_MS_poly-SVM,1.51,37.0,0.38,36.0,0.51,37.0,0.0,1.0
JMI-SVM,1.53,39.0,0.37,35.0,0.53,39.0,0.0,1.0
relax_mRMR-SVM,1.55,39.0,0.36,35.0,0.55,39.0,0.0,1.0
mRMR-KNN,1.66,4.0,0.3,4.0,0.66,4.0,0.0,1.0
mRMR_MS_linear-KNN,1.6,12.0,0.36,12.0,0.6,12.0,0.0,1.0
mRMR_MS_rbf-KNN,1.59,20.0,0.35,20.0,0.59,20.0,0.0,1.0
mRMR_MS_poly-KNN,1.7,46.0,0.27,46.0,0.7,46.0,0.0,1.0
JMI-KNN,1.61,6.0,0.33,6.0,0.61,6.0,0.0,1.0
relax_mRMR-KNN,1.62,12.0,0.33,4.0,0.62,12.0,0.0,1.0
