,inefficiency,P,certainty,P,uncertainty,P,mistrust,P
mRMR-SVM,1.32,7.0,0.59,7.0,0.32,7.0,0.0,1.0
mRMR_MS_linear-SVM,1.32,7.0,0.58,9.0,0.32,7.0,0.0,1.0
mRMR_MS_rbf-SVM,1.33,7.0,0.58,18.0,0.33,7.0,0.0,1.0
mRMR_MS_poly-SVM,1.34,8.0,0.58,23.0,0.34,8.0,0.0,1.0
JMI-SVM,1.32,6.0,0.58,6.0,0.32,6.0,0.0,1.0
relax_mRMR-SVM,1.33,9.0,0.58,15.0,0.33,9.0,0.0,1.0
mRMR-KNN,1.05,15.0,0.89,33.0,0.05,15.0,0.0,1.0
mRMR_MS_linear-KNN,1.02,17.0,0.91,15.0,0.02,17.0,0.0,1.0
mRMR_MS_rbf-KNN,1.06,19.0,0.88,20.0,0.06,19.0,0.0,1.0
mRMR_MS_poly-KNN,1.08,21.0,0.85,35.0,0.08,21.0,0.0,1.0
JMI-KNN,1.1,11.0,0.84,11.0,0.1,11.0,0.0,1.0
relax_mRMR-KNN,1.04,35.0,0.9,34.0,0.04,35.0,0.0,1.0
