,inefficiency,P,certainty,P,uncertainty,P,mistrust,P
mRMR-SVM,1.87,48.0,0.04,49.0,0.87,48.0,0.0,1.0
mRMR_MS_linear-SVM,1.84,38.0,0.05,36.0,0.84,38.0,0.0,1.0
mRMR_MS_rbf-SVM,1.88,33.0,0.05,31.0,0.88,33.0,0.0,1.0
mRMR_MS_poly-SVM,1.82,19.0,0.05,12.0,0.82,19.0,0.0,1.0
JMI-SVM,1.9,31.0,0.04,30.0,0.9,31.0,0.0,1.0
relax_mRMR-SVM,1.82,48.0,0.05,46.0,0.82,48.0,0.0,1.0
mRMR-KNN,1.89,42.0,0.08,1.0,0.89,42.0,0.0,1.0
mRMR_MS_linear-KNN,1.84,1.0,0.1,1.0,0.84,1.0,0.0,1.0
mRMR_MS_rbf-KNN,1.89,3.0,0.07,1.0,0.89,3.0,0.0,1.0
mRMR_MS_poly-KNN,1.89,33.0,0.06,11.0,0.89,33.0,0.0,1.0
JMI-KNN,1.81,31.0,0.12,31.0,0.81,31.0,0.0,1.0
relax_mRMR-KNN,1.89,1.0,0.08,19.0,0.89,1.0,0.0,1.0
